,Name,About
107,Hemant Purohit,"   #EXPERTISE: Inter-disciplinary research to augment human capabilities at work via Social and Web Mining, Intent Mining, and human-AI Collaboration with Semantic Computing for humanitarian and smart city organizations. #GOALS: Understanding human behavior from large-scale open data to: a.) transform R&D from labs to organizational practice for social impact problems #Tech4SocialGoodb.) connect citizens and organizations (study for cooperation, engagement, influence, and belief)#PROFESSIONAL-EX: Researcher at Ohio Center of Excellence in Knowledge-enabled Computing (Kno.e.sis), Research intern at IBM Research, Microsoft Research and QCRI; where I extensively collaborated with cognitive science, and humanitarian domain experts and worked on Web 3.0 R&D Projects for research design and execution, management and data analytics#EXPERTISE: Inter-disciplinary research to augment human capabilities at work via Social and Web Mining, Intent Mining, and human-AI Collaboration with Semantic Computing for humanitarian and smart city organizations. #GOALS: Understanding human behavior from large-scale open data to: a.) transform R&D from labs to organizational practice for social impact problems #Tech4SocialGoodb.) connect citizens and organizations (study for cooperation, engagement, influence, and belief)#PROFESSIONAL-EX: Researcher at Ohio Center of Excellence in Knowledge-enabled Computing (Kno.e.sis), Research intern at IBM Research, Microsoft Research and QCRI; where I extensively collaborated with cognitive science, and humanitarian domain experts and worked on Web 3.0 R&D Projects for research design and execution, management and data analytics FeaturedFeatured     LinkLink Social Media & Web Mining for Public Services of Smart Cities - SSA TalkSocial Media & Web Mining for Public Services of Smart Cities - SSA TalkSlideShareSlideShareThis talk at Data Science Seminar of SSA presents challenges and methods to model behavior on social media & Web for application opportunities for public services. The talk also demonstrates an in-depth case study of mining intentional behavior from...This talk at Data Science Seminar of SSA presents challenges and methods to model behavior on social media & Web for application opportunities for public services. The talk also demonstrates an in-depth case study of mining intentional behavior from...LinkLink ITU TELECOM WORLD 2014 YOUNG INNOVATOR: Hemant Purohit, Social Media Coordination, India & USITU TELECOM WORLD 2014 YOUNG INNOVATOR: Hemant Purohit, Social Media Coordination, India & USYouTubeYouTubeQuick summary of project on leveraging social media for coordination that won the ITU Young Innovator competitionQuick summary of project on leveraging social media for coordination that won the ITU Young Innovator competitionLinkLink Whom to Coordinate With and How in Online Social Communities during Crisis Response CoordinaitonWhom to Coordinate With and How in Online Social Communities during Crisis Response CoordinaitonSlideShareSlideShareISCRAM paper presentation on ""With Whom to Coordinate, Why and How in Ad-hoc Social Media Communities during Crisis Response"" by Purohit et al., Kno.e.sis, Wright State UISCRAM paper presentation on ""With Whom to Coordinate, Why and How in Ad-hoc Social Media Communities during Crisis Response"" by Purohit et al., Kno.e.sis, Wright State ULinkLink NCSU invited talk: Leveraging Social Media for Tourism Marketplace CoordinationNCSU invited talk: Leveraging Social Media for Tourism Marketplace CoordinationSlideShareSlideShareInvited talk presented by Hemant Purohit (http://knoesis.org/researchers/hemant) at the North Carolina State University's workshop on 'IT for Sustainable Tourism Development'. The talk presented the ways in which social media communities can be leveraged to coordinate demands of tourists with the supply of services by local/micro-entrepreneurs.Invited talk presented by Hemant Purohit (http://knoesis.org/researchers/hemant) at the North Carolina State University's workshop on 'IT for Sustainable Tourism Development'. The talk presented the ways in which social media communities can be leveraged to coordinate demands of tourists with the supply of services by local/micro-entrepreneurs.LinkLink SIAM SDM-14 tutorial - Social Media and Web of Data to Assist Crisis Response CoordinationSIAM SDM-14 tutorial - Social Media and Web of Data to Assist Crisis Response CoordinationSlideShareSlideShareTutorial on describing Data Mining problems to assist in leveraging social media for better crisis response coordination and decision making.Tutorial on describing Data Mining problems to assist in leveraging social media for better crisis response coordination and decision making.   "
31,Henry Coffman,
32,Holger Dannenberg,"   My studies in the Molecular Biomedicine program at the University of Bonn in Bonn, Germany taught me the scientific basis of medicine and provided me with an understanding of disease mechanisms. As a student, my interest in neuroscience and immunology led me pursue my diploma thesis on studying microglia and their role in Alzheimer’s disease. I went on to pursue my Ph.D. thesis in Experimental Epileptology and Cognition Research in Bonn, Germany studying neuronal ensembles, neural engrams, and their modulation by acetylcholine in-vivo. Finishing my Ph.D. thesis, I joined the laboratory of Michael E. Hasselmo in Boston, MA, USA, where I continued my experimental and computational work on the cholinergic role in memory. In 2021, I joined the Dept. of Bioengineering and Interdisciplinary Program in Neuroscience as Assistant Professor. My lab investigates the mechanisms and functions underlying the formation of memory and memory-guided navigation with a focus on the septo-hippocampal brain circuitry.My studies in the Molecular Biomedicine program at the University of Bonn in Bonn, Germany taught me the scientific basis of medicine and provided me with an understanding of disease mechanisms. As a student, my interest in neuroscience and immunology led me pursue my diploma thesis on studying microglia and their role in Alzheimer’s disease. I went on to pursue my Ph.D. thesis in Experimental Epileptology and Cognition Research in Bonn, Germany studying neuronal ensembles, neural engrams, and their modulation by acetylcholine in-vivo. Finishing my Ph.D. thesis, I joined the laboratory of Michael E. Hasselmo in Boston, MA, USA, where I continued my experimental and computational work on the cholinergic role in memory. In 2021, I joined the Dept. of Bioengineering and Interdisciplinary Program in Neuroscience as Assistant Professor. My lab investigates the mechanisms and functions underlying the formation of memory and memory-guided navigation with a focus on the septo-hippocampal brain circuitry. FeaturedFeatured     PostPost  The Dannenberg lab is hiring two post docs! The lab uses single unit recordings, optogenetics, and fiber photometry to study neural mechanisms underpinning spatial cognition. Please see the advertisement below for the application process!  hashtag#hiring  hashtag#cognition  hashtag#neuroscience  hashtag#postdocpositionOpen Post-Doc Positions  16   "
110,Huzefa Rangwala,"   Machine Learning, Data Mining, High Performance Computing, Bioinformatics  and Social Network AnalysisMachine Learning, Data Mining, High Performance Computing, Bioinformatics  and Social Network Analysis "
118,Ioulia Rytikova,"   Senior-level professional with 18 years of education and people management experience, providing strategic leadership in the areas of innovative teaching and learning, instructional design, and digital and virtual-based education. Lead the development of 14 corporate and academic programs, and 15 in-person and 10 online courses across 9 different fields in the largest department of George Mason University (100+ instructors, 1,900+ students). Experienced in developing inclusive programs to support the needs of students and employees from diverse backgrounds in STEM disciplines.Senior-level professional with 18 years of education and people management experience, providing strategic leadership in the areas of innovative teaching and learning, instructional design, and digital and virtual-based education. Lead the development of 14 corporate and academic programs, and 15 in-person and 10 online courses across 9 different fields in the largest department of George Mason University (100+ instructors, 1,900+ students). Experienced in developing inclusive programs to support the needs of students and employees from diverse backgrounds in STEM disciplines. "
46,Irina Hashmi,"   Specialties: Computer Science: Computer Programming, data Mining, machine learning, evolutionary computation, stochastic optimization, database systems, algorithms.Computational Biology and Bioinformatics: Human genome seqeunce and enhancers, protein docking and protein-protein interactions.VLSI: Reversible computing and circuti designingSpecialties: Computer Science: Computer Programming, data Mining, machine learning, evolutionary computation, stochastic optimization, database systems, algorithms.Computational Biology and Bioinformatics: Human genome seqeunce and enhancers, protein docking and protein-protein interactions.VLSI: Reversible computing and circuti designing "
34,Isuru Dassanayake,
8,Ivan Avramovic,
11,James Baldo,"   Specialties: Data Analytics, Big Data, Cloud Architecture and Computing, Java Development, Software EngineeringSpecialties: Data Analytics, Big Data, Cloud Architecture and Computing, Java Development, Software Engineering "
3,Jan Allbeck,"   I have had the great opportunity to explore many aspects of computer graphics. Above all, I am drawn to research at the crossroads of animation, artificial intelligence, and psychology in the pursuit of simulating humans. My current research focuses on the creation and simulation of functional crowds.I have had the great opportunity to explore many aspects of computer graphics. Above all, I am drawn to research at the crossroads of animation, artificial intelligence, and psychology in the pursuit of simulating humans. My current research focuses on the creation and simulation of functional crowds. "
142,Janis Terpenny,"Janis Terpenny is a Professor of Systems Engineering & Operations Research and Mechanical Engineering at George Mason University and an Expert for NSF focused on Manufacturing Systems Integration. Previously, she served as the Dean and Wayne Davis Chair of the Tickle College of Engineering at the University of Tennessee. She has also served as the department head of Industrial and Manufacturing Engineering at Penn State University and at Iowa State University. She also served as the first Technical Lead for the Advanced Manufacturing Enterprise (AME) area of the Digital Manufacturing and Design Innovation Institute (DMDII) during the development of the institute's roadmap and first strategic investment plan. She was co-founder and director of the Center for e-Design, an NSF IUCRC, for many years. Her research focus is engineering design (process and methods of early design; knowledge and information in design; product families and platforms; obsolescence in products and systems; and complexity of products and systems) and design education (multidisciplinary teams; impacts of project choice and context; and the retention and success of underrepresented students). Dr. Terpenny was a program director for the Division of Undergraduate Education at the National Science Foundation (NSF). She has also been a professor at Virginia Tech in the departments of Engineering Education, Mechanical Engineering and Industrial and Systems Engineering; and in the department of Mechanical and Industrial Engineering at the University of Massachusetts Amherst. She has 9 years of industry work experience with GE, including a 2-year corporate management program. To date, she has managed over $16.5 million of sponsored research and is the author of over 180 peer-reviewed journal and conference publications. She is a Fellow of IISE and ASME, and a member of ASEE, AAAS, SME, Alpha Pi Mu, and Tau Beta Pi. She is an associate editor for the Engineering Economist journal. She is SVP of Academics on the Board of Trustees for IISE. She has received numerous awards for excellence in teaching, in research, and for service."
101,Jeff Offutt,"   I have over 30 years of experience as a researcher, educator, and leader in the field of computing. In my teaching, I have created many new courses at the graduate and undergraduate level, innovated numerous pedagogical techniques, led research projects in computing education, and led several efforts to create new educational programs. I have served as department chair, associate chair, and run committees at all collegiate levels, and received several awards reflecting my contributions in teaching, research, and leadership.In my research, I seek to invent new ways to build better software, cheaper. I have made highly cited contributions in software engineering that are widely used in industry.I have over 30 years of experience as a researcher, educator, and leader in the field of computing. In my teaching, I have created many new courses at the graduate and undergraduate level, innovated numerous pedagogical techniques, led research projects in computing education, and led several efforts to create new educational programs. I have served as department chair, associate chair, and run committees at all collegiate levels, and received several awards reflecting my contributions in teaching, research, and leadership.In my research, I seek to invent new ways to build better software, cheaper. I have made highly cited contributions in software engineering that are widely used in industry. "
96,Jeffrey Moran,"   I am an Assistant Professor of Mechanical Engineering at George Mason University in Fairfax, VA, USA.  My research leverages microscale transport phenomena to enable new solutions to fundamental problems including clean energy generation and storage, water desalination and remediation, and targeted drug delivery.  One major research focus is the capabilities and applications of active colloids, which are micrometer-size particles (50 times smaller than the width of a human hair) that can propel themselves through liquids, like tiny submarines.  These particles show promise for microscale manufacturing, oil/water separation, and even cancer treatment.Outside of research, I have conducted outreach activities in Washington, D.C., local science museums, and lectured at both general and technical levels in the United States and internationally.When I'm not in the office or the lab, you can find me playing jazz on my upright bass, competing in a triathlon, or hiking in Shenandoah National Park.I am an Assistant Professor of Mechanical Engineering at George Mason University in Fairfax, VA, USA.  My research leverages microscale transport phenomena to enable new solutions to fundamental problems including clean energy generation and storage, water desalination and remediation, and targeted drug delivery.  One major research focus is the capabilities and applications of active colloids, which are micrometer-size particles (50 times smaller than the width of a human hair) that can propel themselves through liquids, like tiny submarines.  These particles show promise for microscale manufacturing, oil/water separation, and even cancer treatment.Outside of research, I have conducted outreach activities in Washington, D.C., local science museums, and lectured at both general and technical levels in the United States and internationally.When I'm not in the office or the lab, you can find me playing jazz on my upright bass, competing in a triathlon, or hiking in Shenandoah National Park. "
66,Jens-Peter Kaps,
81,Jessica Lin,"   My research focuses on the mining of large multimedia datasets, including time series, spatiotemporal, text, and image data.My research focuses on the mining of large multimedia datasets, including time series, spatiotemporal, text, and image data. "
104,Jianli Pan,"   I am currently a tenured associate professor in the Department of Information Science and Technology at the George Mason University (GMU). Previously, I was an associate professor in the Department of Computer Science at the University of Missouri, St. Louis (UMSL). I obtained my Ph.D. degree from the Department of Computer Science and Engineering of Washington University in Saint Louis. My Ph.D. advisor was Prof. Raj Jain. My research interests broadly cover: Internet of Things (IoT), edge/cloud computing, machine learning, cybersecurity, blockchain, smart energy/buildings, and mobile and distributed systems. I am particularly interested in solving the emerging important problems at the intersections of the above-mentioned areas, in addressing the real-world grand challenges that our society faces, and in enabling future vision of smart homes, campuses, factories, communities and cities.I am currently a tenured associate professor in the Department of Information Science and Technology at the George Mason University (GMU). Previously, I was an associate professor in the Department of Computer Science at the University of Missouri, St. Louis (UMSL). I obtained my Ph.D. degree from the Department of Computer Science and Engineering of Washington University in Saint Louis. My Ph.D. advisor was Prof. Raj Jain. My research interests broadly cover: Internet of Things (IoT), edge/cloud computing, machine learning, cybersecurity, blockchain, smart energy/buildings, and mobile and distributed systems. I am particularly interested in solving the emerging important problems at the intersections of the above-mentioned areas, in addressing the real-world grand challenges that our society faces, and in enabling future vision of smart homes, campuses, factories, communities and cities. "
138,Jiayang Sun,
161,Jie Xu,"Using quantitative and statistical analysis of large-scale data to improve revenue and profitability of airlines, financial, hospitality, internet, e-commerce, retail, and other industries. 10+ years experienced in mathematical and statistical modeling and implementation in C++, Java, SAS, SQL. In-depth knowledge in stochastic simulation and optimization. Specialties: Revenue management, simulation, forecasting, risk management, portfolio optimization, data mining, inventory management"
25,Jim Chen,
168,Jinwei Ye,
93,John McLaughlin,"   John is a full time faculty member at the George Mason University College of Computing and Engineering in the Volgenau School of Engineering.  Here he specializes in Senior Design classes, Engineering Program Management, and cyber security.John is also the Course Coordinator and director of the Senior Capstone program in the Department of Information Sciences and Technology.John retired from IBM where he was an accomplished senior executive architect in IBM's Federal Security Business unit.  Here he was an advisor to the US Federal Government, with more than 25 years of success with information technology.  John's leveraged his extensive experience working with a diverse range of stakeholders, leading collaboration, and translating business requirements into actionable technical strategies and solutions. At the top level, John is an expert in risk-based approaches to cyber security, including critical infrastructure protection, high-risk program management, and national security challenges.John received a Master of Science degree in Computer Science from the University of Southern Mississippi, and previously a Bachelor of Science degree in Electrical Engineering from George Mason University.  He has held academic appointments at Texas Tech and the University of Illinois.John is a full time faculty member at the George Mason University College of Computing and Engineering in the Volgenau School of Engineering.  Here he specializes in Senior Design classes, Engineering Program Management, and cyber security.John is also the Course Coordinator and director of the Senior Capstone program in the Department of Information Sciences and Technology.John retired from IBM where he was an accomplished senior executive architect in IBM's Federal Security Business unit.  Here he was an advisor to the US Federal Government, with more than 25 years of success with information technology.  John's leveraged his extensive experience working with a diverse range of stakeholders, leading collaboration, and translating business requirements into actionable technical strategies and solutions. At the top level, John is an expert in risk-based approaches to cyber security, including critical infrastructure protection, high-risk program management, and national security challenges.John received a Master of Science degree in Computer Science from the University of Southern Mississippi, and previously a Bachelor of Science degree in Electrical Engineering from George Mason University.  He has held academic appointments at Texas Tech and the University of Illinois. "
127,John Shortle,
137,John Stufken,
42,Jonathan Goldman,"   Jonathan Goldman has been involved with IT since before its incarnation under that name, having written a game program on a Royal Precision LGP-30 in spring of 1963. During his career he has worked not only in IT, but also in retail and wholesale marketing, developing and implementing multiple marketing campaigns for retail chains.He has been responsible for IT management since 1987, implementing networking systems and one of the first internet connections and web sites for a non-university hospital in the mid-90s at a 300-bed hospital. Goldman has been at Mason since 2001 as director of IT in what is now the College of Engineering & Computing and has guided the school’s IT operations through the explosive enrollment growth during that time. He has also been active in the support of distance learning technologies at Mason.Goldman is also active in non-IT areas at Mason and has taught UNIV 100 for first year Engineering students for several years and helped with managing the college Living and Learning Communities. He has also developed and coordinated several presentations for Mason’s annual conference on Innovations in Teaching and Learning on topics such as the integration of distance learning concepts in traditional classes and adaptations needed for teaching millennial generation students.Jonathan Goldman has been involved with IT since before its incarnation under that name, having written a game program on a Royal Precision LGP-30 in spring of 1963. During his career he has worked not only in IT, but also in retail and wholesale marketing, developing and implementing multiple marketing campaigns for retail chains.He has been responsible for IT management since 1987, implementing networking systems and one of the first internet connections and web sites for a non-university hospital in the mid-90s at a 300-bed hospital. Goldman has been at Mason since 2001 as director of IT in what is now the College of Engineering & Computing and has guided the school’s IT operations through the explosive enrollment growth during that time. He has also been active in the support of distance learning technologies at Mason.Goldman is also active in non-IT areas at Mason and has taught UNIV 100 for first year Engineering students for several years and helped with managing the college Living and Learning Communities. He has also developed and coordinated several presentations for Mason’s annual conference on Innovations in Teaching and Learning on topics such as the integration of distance learning concepts in traditional classes and adaptations needed for teaching millennial generation students.                    "
7,Jonathan L. Auerbach,
22,Juan Cebral,
171,Kai Zeng,
52,Karla Hoffman,
117,Katherine Russell,
149,Kathleen Wage,
12,Kenneth Ball,
6,Kevin Andrea,
97,Kevin Moran,"   Kevin Moran is an Assistant Professor in the Department of Computer Science at George Mason University.  He graduated with his B.A. in Physics with a Computer Science Minor from the College of the Holy Cross in 2013. He graduated with his M.S. in Computer Science from William & Mary in 2015, and his Ph.D. in Computer Science from William & Mary in 2018, advised by Dr. Denys Poshyvanyk.  Kevin was a former senior member of the SEMERU research group. His main research interests include software engineering, maintenance, and evolution with a focus on mobile platforms. Additionally, he explores applications of machine learning to data mined from software repositories in order to create practical automation for developers. Kevin Moran is an Assistant Professor in the Department of Computer Science at George Mason University.  He graduated with his B.A. in Physics with a Computer Science Minor from the College of the Holy Cross in 2013. He graduated with his M.S. in Computer Science from William & Mary in 2015, and his Ph.D. in Computer Science from William & Mary in 2018, advised by Dr. Denys Poshyvanyk.  Kevin was a former senior member of the SEMERU research group. His main research interests include software engineering, maintenance, and evolution with a focus on mobile platforms. Additionally, he explores applications of machine learning to data mined from software repositories in order to create practical automation for developers.  "
69,Khaled Khasawneh,
59,Khondkar Islam,"   Khondkar Islam has over 20 years of experience working in Information Technology and Telecommunications sectors, National Aeronautics and Space Administration and Department of Homeland Security government agencies, as well as academia at George Mason University, University of Maryland at College Park and American University. He is also a subject matter expert at Prometric. Khondkar's research interests include distributed and peer-to-peer systems, overlay and wireless networks, network security, and distance education for instructor training and student learning. He has reviewed several technical book chapters for Prentice Hall, McGraw-Hill, John Wiley & Sons, and Addison-Wesley, and has published a number of refereed articles.Khondkar Islam has over 20 years of experience working in Information Technology and Telecommunications sectors, National Aeronautics and Space Administration and Department of Homeland Security government agencies, as well as academia at George Mason University, University of Maryland at College Park and American University. He is also a subject matter expert at Prometric. Khondkar's research interests include distributed and peer-to-peer systems, overlay and wireless networks, network security, and distance education for instructor training and student learning. He has reviewed several technical book chapters for Prentice Hall, McGraw-Hill, John Wiley & Sons, and Addison-Wesley, and has published a number of refereed articles.                    "
17,Kim Blackwell,"   Accounting manager with history of working in various fields, including legal, graphic design and non-profit. Skilled in payroll, account reconciliation, general ledger, and financial statement preparation. Extensive experience with both cash-based and accrual accounting. Also have several years working in meeting and special event planning for local meetings, national trade shows and special event fundraisers. Accounting manager with history of working in various fields, including legal, graphic design and non-profit. Skilled in payroll, account reconciliation, general ledger, and financial statement preparation. Extensive experience with both cash-based and accrual accounting. Also have several years working in meeting and special event planning for local meetings, national trade shows and special event fundraisers.  "
139,Kun Sun,"Dr. Kun Sun is a Professor in the Department of Information Sciences and Technology. He is the Associate Director of CSIS. He is also the director of Sun Security Laboratory. He has more than 15 years of working experience in both industry and academia. Kun Sun received his Ph.D. from the Department of Computer Science at North Carolina State University. His research focuses on systems and network security. The main thrusts of his research include trusted computing systems, moving target defense, software security, SDN security, AI/ML security, and cloud security."
143,Kuo Tian,
125,Lance Sherry,
68,Larry Kerschberg,   I am Professor Emeritus of Computer Science at George Mason University.I also do consulting in legal intellectual property matters as well as in large scale systems.I am Professor Emeritus of Computer Science at George Mason University.I also do consulting in legal intellectual property matters as well as in large scale systems. 
72,Laura Kosoglu,   Specialties: Geotechnical EngineeringSpecialties: Geotechnical Engineering 
163,Lei Yang,"Lei Yang received her Ph.D. degree and B.E. degree in 2019 and 2013 from Chongqing University, Chongqing, China. She was a research scholar at the University of California, Irvine from Oct. 2017 to Feb. 2019, and a research scholar at the University of Pittsburgh from Feb. 2019 to Aug. 2019. Before joining the University of New Mexico, She was a Post-Doctoral Research Associate in the Department of Computer Science and Engineering at the University of Notre Dame, IN, USA. Dr. Yang's research interests are in Automated Machine Learning, Embedded Systems and High-Performance Computing Architectures."
172,Linghan Zhang,
85,Lisa Luo,"   I am an educational researcher, photographer, videographer, and workshop facilitator who is passionate about cultivating learning, creativity, and social-emotional development among youth and adults. I am an educational researcher, photographer, videographer, and workshop facilitator who is passionate about cultivating learning, creativity, and social-emotional development among youth and adults.  FeaturedFeatured     LinkLink   My Online PortfolioMy Online Portfoliojiaimagery.comjiaimagery.comCheck out my online portfolio for my photography, past work, and projects! Check out my online portfolio for my photography, past work, and projects!    "
164,Lishan Yang,"I am a tenure-track assistant professor in the Department of Computer Science at George Mason University. I received my Ph.D. degree from the Computer Science Department at the College of William & Mary in 2022, under the supervision of Prof. Evgenia Smirni. My research interest falls in GPU architecture, reliability analysis, and performance analysis. Before coming to W&M, I got my bachelor degree in computer science from University of Science and Technology of China (USTC) in 2016."
49,Lucas Henneman,"   Environmental engineer researcher and instructor interested in problems at the intersections of regulatory policy, environmental quality, and health.Environmental engineer researcher and instructor interested in problems at the intersections of regulatory policy, environmental quality, and health. "
170,Marcos Zampieri,"Computational Linguistics, Natural Language Processing."
131,Mark Snyder,
21,Martha Bushong,"   Martha Bushong believes that clear, cogent, and effective writing is the core of any communications effort. She is a strong and flexible writer with the ability to make complex subject matter understandable to any interested reader. But she is more than a writer because she leverages communications by managing multiple channels so messages get noticed, get read, and get results.Martha has significant experience in higher education, healthcare, and government settings. Since coming to George Mason University's College of Engineering and Computing she has retooled websites, produced publications, and initiated efforts to raise the visibility and reputation of the school through consistent messaging and creative marketing. In 2021 the College was ranked as one of the top 100 schools of engineering by U.S. News & World Report.Martha enjoys collaborating with other writers, editors, graphic artists, photographers, and videographers to share ideas and produce the best possible outcomes. She has built and now leads a talented cross-functional team.Martha Bushong believes that clear, cogent, and effective writing is the core of any communications effort. She is a strong and flexible writer with the ability to make complex subject matter understandable to any interested reader. But she is more than a writer because she leverages communications by managing multiple channels so messages get noticed, get read, and get results.Martha has significant experience in higher education, healthcare, and government settings. Since coming to George Mason University's College of Engineering and Computing she has retooled websites, produced publications, and initiated efforts to raise the visibility and reputation of the school through consistent messaging and creative marketing. In 2021 the College was ranked as one of the top 100 schools of engineering by U.S. News & World Report.Martha enjoys collaborating with other writers, editors, graphic artists, photographers, and videographers to share ideas and produce the best possible outcomes. She has built and now leads a talented cross-functional team. FeaturedFeatured     LinkLink  Live Like A DragonflyLive Like A DragonflySlideShareSlideShareArticle from DCMA Communicator about Vietnamese emigre.Article from DCMA Communicator about Vietnamese emigre.LinkLink  Picasso Vl Advertising Supplement 1Picasso Vl Advertising Supplement 1SlideShareSlideShareSection in VA Living Magazine describes Picasso exhibition at the VMFA.Section in VA Living Magazine describes Picasso exhibition at the VMFA.LinkLink  Picasso[1]Picasso[1]SlideShareSlideShareSpecial supplement to the Richmond Times-Dispatch about Picasso exhibition at the Virginia Museum of Fine ArtsSpecial supplement to the Richmond Times-Dispatch about Picasso exhibition at the Virginia Museum of Fine ArtsLinkLink  VCU Dentistry Annual Report2009VCU Dentistry Annual Report2009SlideShareSlideShareVCU School of Dentistry 2009 Annual Report to Investors with honor roll of investors.VCU School of Dentistry 2009 Annual Report to Investors with honor roll of investors.LinkLink  VCU Dentistry (Research winter 2010)VCU Dentistry (Research winter 2010)SlideShareSlideShare32 page magazine features research of faculty and students. Special focus on VCU Phillips Institute.32 page magazine features research of faculty and students. Special focus on VCU Phillips Institute.   "
130,Martin Slawski,"At a broad level, my research is about methods and theory for massive and high-dimensional data at the interface of statistics and computation.The latest focus of my research is on data compression by means of random projections and quantization. Past work evolves around structured representations for high-dimensional data (sparsity, non-negativity, low-rank structure) and applications in computational biology (genomics, proteomics and epigenetics). "
2,Massimiliano Albanese,"   Computer Scientist working in the field of Secure Information Systems.Specialties: Security, Databases, Information Systems, Cloud ComputingComputer Scientist working in the field of Secure Information Systems.Specialties: Security, Databases, Information Systems, Cloud Computing "
4,Matthew Amissah,
36,Michael Eagle,"   Evaluation expert with ample research experience applying rigorous quantitative methods to understand, predict, and alter human behavior in interactive environments (such as computer-based learning and video games.)  Well versed in running and designing human-subjects experiments, as well as data mining/machine learning experiments.Evaluation expert with ample research experience applying rigorous quantitative methods to understand, predict, and alter human behavior in interactive environments (such as computer-based learning and video games.)  Well versed in running and designing human-subjects experiments, as well as data mining/machine learning experiments. FeaturedFeatured     DocumentDocument  Survival Analysis on Duration Data in Intelligent TutorsSurvival Analysis on Duration Data in Intelligent Tutors Full paper published at the 12th International Conference on Intelligent Tutoring Systems.Full paper published at the 12th International Conference on Intelligent Tutoring Systems.DocumentDocument  Exploring Differences in Problem Solving with Data-Driven Approach MapsExploring Differences in Problem Solving with Data-Driven Approach Maps Full paper published at The 7th International Conference on Educational Data Mining (EDM 2014)Full paper published at The 7th International Conference on Educational Data Mining (EDM 2014)   "
50,Michael Hieb,
53,Michael Holland,"   Statistics and Education are my passion. I have been a mathematics and statistics educator for 8 years at the high school and collegiate levels. I have a working knowledge of graphical and statistical analysis with R and SAS coding programs, StatCrunch, and Excel. I am looking to branch out from traditional educator roles into statistician and data analyst fields of study and industry.Statistics and Education are my passion. I have been a mathematics and statistics educator for 8 years at the high school and collegiate levels. I have a working knowledge of graphical and statistical analysis with R and SAS coding programs, StatCrunch, and Excel. I am looking to branch out from traditional educator roles into statistician and data analyst fields of study and industry. "
86,Michael Lyons,
18,Mihai Boicu,"   I am the Associate Director of the Learning Agents Center since 2002 and Associate Professor of Information Technology in Information Sciences and Technology Department. I received my Ph.D. degree from George Mason University in 2003. I published over 100 scientific publications, including co-authoring two books, fourteen journal papers, and four book chapters.  I was co-editor for workshop proceedings and a special issue of the Artificial Intelligence Magazine. I had contributions in several areas of Artificial Intelligence: Instructable Agents, Knowledge Engineering, Multi-agent Systems and Mixed-initiative Reasoning.I received several awards for the research and educational activity performed. I received the Innovative Application Award at IAAI-2002, the Fourteenth Annual Conference on Innovative Applications of Artificial Intelligence, Edmonton, Alberta, Canada, July 30-August 1, 2002, for the paper “Development and Deployment of a Disciple Agent for Center of Gravity Analysis,” by Tecuci G., Boicu M., Marcu D., Stanescu B., Boicu C., Comello J., Lopez A., Donlon J., Cleckner W. I received a Certificate of appreciation  awarded by Colonel Jeffrey P. Hightaian, the Director of the Warfighting Center of Air University, for Outstanding Service to the Air War College Maxwell Air Force Base Alabama; several Certificates of appreciation and the Centennial Coin awarded by General Robert Ivany, the Commandant of the US Army War College; Certificate of Appreciation awarded by Prof. Douglas Campbell, Director of the Center for Strategic Leadership of the US Army War College. I also received Outstanding Graduate Student in Information Technology Award presented by Knowledge Consulting Group, George Mason University.I am the Associate Director of the Learning Agents Center since 2002 and Associate Professor of Information Technology in Information Sciences and Technology Department. I received my Ph.D. degree from George Mason University in 2003. I published over 100 scientific publications, including co-authoring two books, fourteen journal papers, and four book chapters.  I was co-editor for workshop proceedings and a special issue of the Artificial Intelligence Magazine. I had contributions in several areas of Artificial Intelligence: Instructable Agents, Knowledge Engineering, Multi-agent Systems and Mixed-initiative Reasoning.I received several awards for the research and educational activity performed. I received the Innovative Application Award at IAAI-2002, the Fourteenth Annual Conference on Innovative Applications of Artificial Intelligence, Edmonton, Alberta, Canada, July 30-August 1, 2002, for the paper “Development and Deployment of a Disciple Agent for Center of Gravity Analysis,” by Tecuci G., Boicu M., Marcu D., Stanescu B., Boicu C., Comello J., Lopez A., Donlon J., Cleckner W. I received a Certificate of appreciation  awarded by Colonel Jeffrey P. Hightaian, the Director of the Warfighting Center of Air University, for Outstanding Service to the Air War College Maxwell Air Force Base Alabama; several Certificates of appreciation and the Centennial Coin awarded by General Robert Ivany, the Commandant of the US Army War College; Certificate of Appreciation awarded by Prof. Douglas Campbell, Director of the Center for Strategic Leadership of the US Army War College. I also received Outstanding Graduate Student in Information Technology Award presented by Knowledge Consulting Group, George Mason University. "
155,Mingkui Wei,I am an assistant professor at the Cybersecurity Engineering Department of George Mason University. My current research focus on web-security and network security. 
83,Mingrui Liu,"   Homepage: https://mingrliu.github.ioI work on research problems on machine learning, optimization, deep learning and its applications.Homepage: https://mingrliu.github.ioI work on research problems on machine learning, optimization, deep learning and its applications. "
