,Name,Title,Descriptions,Date
2,Hemant Purohit,Assisting Coordination during Crisis: A Domain Ontology based Approach to Infer Resource Needs from Tweets,"Ubiquitous social media during crises provides citizen reports on the situation, needs and supplies. Previous research extracts resource needs directly from the text (e.g. “Power cut to Coney Island and Brighton beach” indicates a power need). This approach assumes that citizens derive and write about specific needs from their observations, properly specified for the emergency response system, an assumption that is not consistent with general conversational behavior. In our study, Twitter messages (tweets) from Hurricane Sandy in 2012 clearly indicate power blackouts, but not their probable implications (e.g. loss of power to hospital life support systems). We use a domain model to capture such interdependencies between resources and needs. We represent these dependencies in an ontology that specifies the functional association between resources. Accurate interpretation of resource need/supply also depends on the location of a message. We show how inference based on a domain model combined with location detection and interpretation in the social data can enhance situational awareness, e.g., predicting a medical emergency before it is reported as critical.",1-Jun-14
3,Hemant Purohit,Emergency–relief coordination on social media: Automatically matching resource requests and offers,"Machine–learning methods to automatically identify and match needs and offers during disaster response, communicated via social media for items and services such as shelter, money, clothing, volunteering, etc. [HIGHLIGHT: chosen as the lead paper of January issue of the journal]",6-Jan-14
4,Hemant Purohit,Identifying Seekers and Suppliers in Social Media Communities to Support Crisis Coordination,"Model for filtering information by using psycholinguistics theories to identify tacit cooperation in the declarations of resource needs and availability during disaster response on social media. Also, a domain ontology to create an annotated information repository for supporting the varying abstract presentation of organized, actionable information nuggets regarding resource needs and availability in visual interfaces, as well as complex querying ability for who-what-where in coordination.",1-Jan-14
5,Hemant Purohit,Leveraging Social Media and Web of Data for assisting Crisis Response Coordination,"Data mining can provide valuable insights to support emergency responders and other stakeholders during crisis. However, there are a number of challenges and existing computing technology may not work in all cases. Therefore, our objective in this tutorial is to present the characterization of such data mining tasks, and challenges that need further research attention.",1-Jan-14
6,Hemant Purohit,On Understanding Divergence of Online Social Group Discussion,"Unlike prior studies with focus on link structures to characterize social group dynamics, we model content-based group dynamics by understanding collective discussion divergence; with guidance from two socio-psychological theories, social cohesion and social identity. [HIGHLIGHT: Acceptance-rate: 23%]",1-Jan-14
7,Hemant Purohit,Twitris- a System for Collective Social Intelligence,"Twitris, a Semantic Web application that facilitates understanding of social perceptions by Semantics-based processing of massive amounts of event-centric data. Twitris addresses challenges in large scale processing of social data, preserving spatio-temporal-thematic properties and focusing on multi-dimensional analysis of sptatio-temporal-thematic, people-content-network and sentiment-emotion-subjectivity facets. Twitris also covers context based semantic integration of multiple Web resources and expose semantically enriched social data to the public domain. Semantic Web technologies enable the system's integration and analysis abilities. It has applications for studying and analyzing social sensing and perception of a broad variety of events: politics and elections, social movements and uprisings, crisis and disasters, entertainment, environment, decision making and coordination, brand management, campaign effectiveness, etc.",1-Jan-14
8,Hemant Purohit,"With Whom to Coordinate, Why and How in Ad-hoc Social Media Communities during Crisis Response","During crises affected people, well-wishers, and observers join social media communities to discuss the event while sharing useful information relevant to response coordination, for example, specific resource needs. But it is difficult to identify and engage with such users, our framework enables such coordination assistive engagement.",1-Jan-14
9,Hemant Purohit,How to Leverage Social Media Communities for Crisis Response Coordination,"Ignite talk at ICCM-2013 at United Nations (UN) Nairobi. Key-message: We need to extract smart actionable data out of big crisis data to assist response coordination, by focusing on mining and matching demand (need of help) and supply (offer of help) centric technology (Video- http://goo.gl/nNOO28 , Slides- http://goo.gl/Q732ay ) 

More at Kno.e.sis' SOCS project page: http://knoesis.org/research/semsoc/projects/socs 
Also, Crisis Informatics at Kno.e.sis: http://j.mp/CrisisRes",1-Nov-13
10,Hemant Purohit,What Kind of #Communication is Twitter? Mining #Psycholinguistic Cues for Emergency Coordination,"Information filtering model to reduce Twitter traffic for disaster coordination, by modeling coordination via pyscholinguistic theories of conversations. Also, a proof for existence of similar human behavior of face-to-face communication in online communication [HIGHLIGHT: chosen in CDC's Health Communication Science digest of October]",1-Nov-13
11,Hemant Purohit,"Crisis Mapping, Citizen Sensing and Social Media Analytics: Leveraging Citizen Roles for Crisis Response","This tutorial weaves three themes and corresponding relevant topics- a.) citizen sensing and crisis mapping, b.) technical challenges and recent research for leveraging citizen sensing to improve crisis response coordination, and c.) experiences in building robust and scalable platforms/systems. It couples technical insights with real world examples.",11-Jul-13
12,Hemant Purohit,"Twitris v3: From Citizen Sensing to Analysis, Coordination and Action","System to leverage social media analytics beyond computing the obvious, by focusing on targeted  computing that can assist higer level phenomena such as coordination and decision making",8-Jul-13
13,Hemant Purohit,User Taglines: Alternative Presentations of Expertise and Interest in Social Media,"Techniques to curate short descriptions for presenting a user's information or expertise on social media. Also, a study of how can we exploit semantic knowledge on web to present user descriptions [HIGHLIGHT: Acceptance rate: 11.5%] ",14-Nov-12
14,Hemant Purohit,Prediction of Topic Volume on Twitter,,23-Jun-12
15,Hemant Purohit,Finding Influential Authors in Brand-Page Communities,"Techniques to find users for whom to engage with in evolving closed (topic centric) communities. Applications in brand management, crisis response as well as for channelizing actionable network effects (please talk to me further if interested)",4-Jun-12
16,Hemant Purohit,Framework for the Analysis of Coordination in Crisis Response,Position paper to present a framework to analyze crisis response coordination by leveraging social media messages shared after a disaster event,11-Feb-12
17,Hemant Purohit,Understanding User-Community Engagement by Multi-faceted Features: A Case Study on Twitter,"A People-Content-Network analysis framework for user engagement in the online communities, by incorporating 3 fundamental aspects of social media: the participants (People), the posts generated them (Content), and the user connections (Network)",30-Mar-11
18,Hemant Purohit,A Qualitative Examination of Topical Tweet and Retweet Practices,Study on the effect of content on network structures. Content has a role to play in shaping denser vs. sparse diffusion networks of interactions on social media.,22-May-10
19,Hemant Purohit,Performance Analysis of RFID Tag Antennas,,1-Sep-08
0,Holger Dannenberg,Effects of visual inputs on neural dynamics for coding of location and running speed in medial entorhinal cortex,"Citation: Dannenberg, H., Lazaro, H., Nambiar, P., Hoyland, A., & Hasselmo, M. E. (2020). Effects of visual inputs on neural dynamics for coding of location and running speed in medial entorhinal cortex. BioRxiv, 2020.04.06.027466.",1-Jan-20
1,Holger Dannenberg,"Neurophysiological coding of space and time in the hippocampus, entorhinal cortex and retrosplenial cortex","Citation: Alexander, A. S., Robinson, J. C., Dannenberg, H., Kinsky N. R., Levy S. J., Mau, W., Chapman, G. W., Sullivan, D. W., & Hasselmo, M. E. (in press). Neurophysiological coding of space and time in the hippocampus, entorhinal cortex and retrosplenial cortex. Brain and Neuroscience Advances",1-Jan-20
2,Holger Dannenberg,Overview of computational models of hippocampus and related structures: Introduction to the special issue,"Citation: Hasselmo, M. E., Alexander, A. S., Dannenberg, H., & Newman, E. L. (2020). Overview of computational models of hippocampus and related structures: Introduction to the special issue. Hippocampus, 30(4), 295–301.",1-Jan-20
3,Holger Dannenberg,The unexplored territory of neural models: Potential guides for exploring the function of metabotropic neuromodulation,"Citation: Hasselmo, M. E., Alexander, A. S., Hoyland, A., Robinson, J. C., Bezaire, M. J.,
Chapman, G. W., Saudargiene, A., Carstensen, L. C., & Dannenberg, H. (2020). The
unexplored territory of neural models: Potential guides for exploring the function of
metabotropic neuromodulation. Neuroscience, epub ahead of print.",1-Jan-20
4,Holger Dannenberg,The firing rate speed code of entorhinal speed cells differs across behaviorally relevant time scales and does not depend on medial septum inputs,"Citation: Dannenberg H., Kelley C., Hoyland A., Monaghan CK., Hasselmo ME.: “The firing rate speed code of entorhinal speed cells differs across behavrionally relevant time scales and does not depend on medial septum inputs”. The Journal of Neuroscience, 1450-18 (2019). ",1-Jan-19
5,Holger Dannenberg,The role of hierarchical dynamical functions in coding for episodic memory and cognition,"Citation: Dannenberg, H., Alexander, A. S., Robinson, J. C., & Hasselmo, M. E. (2019). The Role
of Hierarchical Dynamical Functions in Coding for Episodic Memory and Cognition.
Journal of Cognitive Neuroscience, 31(9), 1271–1289.",1-Jan-19
6,Holger Dannenberg,Neural mechanisms of navigation involving interactions of cortical and subcortical structures,"Citation: Hinman J.R., Dannenberg H., Alexander A., Hasselmo M.E.: “Neural mechanisms of navigation involving interactions of cortical and subcortical structures.” Journal of Neurophysiology, 119: 2007-2029 (2018). ",1-Jan-18
7,Holger Dannenberg,Specific Basal Forebrain-Cortical Cholinergic Circuits Coordinate Cognitive Operations,"Citation: Záborszky L., Gombkoto P., Varsanyi P., Gielow M.R., Poe G., Role L.W., Ananth M., Rajebhosale P., Talmage D.A., Hasselmo M.E., Dannenberg H., Minces V.H., Chiba A.A. “Specific Basal Forebrain-Cortical Cholinergic Circuits Coordinate Cognitive Operations.” The Journal of Neuroscience, 38:9446–9458 (2018).",1-Jan-18
8,Holger Dannenberg,Models of Spatial and Temporal Dimensions of Memory,"Citation: Hasselmo M.E., Hinman J.R., Dannenberg H., Stern C.E.: “Models of Spatial and Temporal Dimensions of Memory.” Current Opinion in Behavioral Sciences 17:27–33 (2017).",1-Jan-17
9,Holger Dannenberg,Modulation of Hippocampal Circuits by Muscarinic and Nicotinic Receptors,"Dannenberg H., Young K., and Hasselmo M.E.: “Modulation of Hippocampal Circuits by Muscarinic and Nicotinic Receptors.” Frontiers in Neural Circuits, 11:102 (2017)",1-Jan-17
10,Holger Dannenberg,Astrocyte intermediaries of septal cholinergic modulation in the hippocampus,"Citation: Pabst M., Braganza O., Dannenberg H., Hu W., Pothmann L., Rosen J., Mody I., van Loo K., Deisseroth K., Becker A., Schoch S., Beck H.: “Astrocyte intermediaries of septal cholinergic modulation in the hippocampus.”  Neuron, 90, 853¬–865 (2016).",1-Jan-16
11,Holger Dannenberg,Potential roles of cholinergic modulation in the neural coding of location and movement speed,"Citation: Dannenberg H., Hinman J.R., Hasselmo M.E.: “Potential roles of cholinergic modulation in the neural coding of location and movement speed.” Journal of Physiology, Paris, 110, 52–64 (2016).",1-Jan-16
12,Holger Dannenberg,Synergy of direct and indirect cholinergic septo-hippocampal pathways coordinates firing in hippocampal networks,"Citation: Dannenberg H., Pabst M, Braganza O., Schoch S., Niediek J., Bayraktar M., Mormann F., Beck H.: “Synergy of direct and indirect cholinergic septo-hippocampal pathways coordinates firing in hippocampal networks”, The Journal of Neuroscience, 35(22):8394-8410 (2015).",1-Jan-15
13,Holger Dannenberg,Signal regulatory protein-beta1: a microglial modulator of phagocytosis in Alzheimer’s disease,"Citation: Gaikwad S., Larionov S., Wang Y., Dannenberg H., Matozaki T., Monsonego A., Thal D.R., Neumann H.: “Signal regulatory protein-beta1: a microglial modulator of phagocytosis in Alzheimer’s disease.” The American Journal of Pathology, 175, 2528-2539 (2009).",1-Jan-09
0,Huzefa Rangwala,Predicting Preference Tags to Improve Item Recommendation,,30-Dec-14
1,Huzefa Rangwala,Convex Multi-task Learning using Hinge Loss,,12-Dec-14
2,Huzefa Rangwala,Convex Multi-task Learning using Hinge Loss,,12-Dec-14
3,Huzefa Rangwala,Machine Learning Approaches for Metagenomics,,1-Jan-14
4,Huzefa Rangwala,Relevant Subsequence Discovery with Sparse Dictionary Learning,"Relevant Subsequence Dictionary Learning (RS-DL) is an alternative method for applying Sparse Dictionary Learning to sequence datasets.
 In RS-DL, separate dictionaries are constructed for each sequence in a dataset from a set of ""relevant subsequence patterns,"" allowing interesting subsequences to be discovered.",1-Sep-13
5,Huzefa Rangwala,Relevant Subsequence Discovery with Sparse Dictionary Learning,"Relevant Subsequence Dictionary Learning (RS-DL) is an alternative method for applying Sparse Dictionary Learning to sequence datasets.
 In RS-DL, separate dictionaries are constructed for each sequence in a dataset from a set of ""relevant subsequence patterns,"" allowing interesting subsequences to be discovered.",1-Sep-13
6,Huzefa Rangwala,Joint Segmentation and Clustering in Text Corpuses,"The Joint Segmentation and Clustering (JSC) model combines ideas from topic modeling and segmental semi-Markov models.
 Compared to techniques where segmentation and clustering are performed individually, the JSC model improves performance both in recovering semantic information from documents and in producing concise representations.",1-Apr-13
7,Huzefa Rangwala,Multi-task Learning for Classifying Proteins Using Dual Hierarchies,,19-Dec-12
8,Huzefa Rangwala,A Family of Feed-forward Models for Sequence Classification,"We created a family of feed-forward models that has many similarities with convolutional neural networks. 
However, rather than using the standard convolutional layer, these networks extract informative features from protein sequences using a structure inspired by Profile Hidden Markov Models.
These networks are competitive with top-performing kernel methods on standard biological sequence datasets but use a significantly different mode of operation.",1-Sep-12
0,Ioulia Rytikova,Invited Talk: Big Data Ecosystem,,19-May-16
1,Ioulia Rytikova,Presentation: Big Data in Healthcare - Challenges and Opportunities,,7-Jan-16
2,Ioulia Rytikova,Learning Is Fun! Wait … STEM Learning?,,18-Sep-15
3,Ioulia Rytikova,Presentation: Making It All Work,,5-Aug-15
4,Ioulia Rytikova,Presentation: Classroom Management in Active Learning Classrooms,,3-Jun-15
5,Ioulia Rytikova,Invited Talk: Is It All Just About Feedback?,,8-Apr-15
6,Ioulia Rytikova,A Methodology for Personalized Competency-based Learning in Undergraduate Courses,,15-Oct-14
7,Ioulia Rytikova,Invited Talk: Designing Active Learning Experience for Undergraduate Students,,30-Sep-14
8,Ioulia Rytikova,Invited Talk: Big Data in Higher Education - Developing a Student Profile,,10-Jan-14
9,Ioulia Rytikova,Presentation: Competency-based Modular Approach in AIT database courses,,1-Nov-13
0,Irina Hashmi,idDock+: Integrating Machine Learning in Probabilistic Search for Protein-Protein Docking.,,29-Jul-15
1,Irina Hashmi,Knowledge-based Search and Multi-objective Filters: Proposed Structural Models of GPCR Dimerization,Peer-reviewed conference paper.,1-Sep-14
2,Irina Hashmi,HopDock: A Probabilistic Search Algorithm for Decoy Sampling in Protein-protein Docking,,1-Nov-13
3,Irina Hashmi,Informatics-driven Protein-protein Docking,,1-Sep-13
4,Irina Hashmi,A Basin Hopping Algorithm for Protein-protein Docking,,1-Jan-12
5,Irina Hashmi,An Evolutionary Conservation Based Method for Refining and Reranking Protein Complex Structures,,1-Jan-12
6,Irina Hashmi,Basin Hopping as a General and versatile optimization framework for the characterization of biological macromolecules,,1-Jan-12
7,Irina Hashmi,Employing Geometric and Evolutionary Information for Protein Docking with Probabilistic Search,,1-Jan-12
8,Irina Hashmi,Guiding Protein Docking with Geometric and Evolutionary Information,,1-Jan-12
9,Irina Hashmi,Protein Docking with Information on Evolutionary Conserved Interfaces,,1-Jan-11
10,Irina Hashmi,Refinement of Docked Protein Complex Structures Using Evolutionary Traces,,1-Jan-11
11,Irina Hashmi,An Efficient Design of a Reversible Barrel Shifter,,1-Jan-10
0,Isuru Dassanayake,Assessing inter-rater agreement between multiple medical instruments with heteroscedastic measurements,,27-Jan-17
1,Isuru Dassanayake,Statistical methods for assessing agreement between multiple methods of heteroscedastic clinical measurements,,6-Oct-16
0,Jeffrey Moran,Noble-gas-infused neoprene closed-cell foams achieving ultra-low thermal conductivity fabrics,"Closed-cell foams are widely applied as insulation and essential for the thermal management of protective garments for extreme environments. In this work, we develop and demonstrate a strategy for drastically reducing the thermal conductivity of a flexible, closed-cell polychloroprene foam to 0.031 ± 0.002 W m−1 K−1, approaching values of an air gap (0.027 W m−1 K−1) for an extended period of time (>10 hours), within a material capable of textile processing. Ultra-insulating neoprene materials are synthesized using high-pressure processing at 243 kPa in a high-molecular-weight gas environment, such as Ar, Kr, or Xe. A Fickian diffusion model describes both the mass infusion and thermal conductivity reduction of the foam as a function of processing time, predicting a 24–72 hour required exposure time for full charging of a 6 mm thick 5 cm diameter neoprene sample. These results enable waterproof textile insulation that approximates a wearable air gap. We demonstrate a wetsuit made of ultra-low thermally conductive neoprene capable of potentially extending dive times to 2–3 hours in water below 10 °C, compared with <1 hour for the state-of-the-art. This work introduces the prospect of effectively wearing a flexible air gap for thermal protection in harsh environments.",18-Jun-18
1,Jeffrey Moran,Numerical study of the effect of soft layer properties on bacterial electroporation,"We present a numerical model of electroporation in a gram-positive bacterium, which accounts for the presence of a negatively charged soft polyelectrolyte layer (which may include a periplasmic space, peptidoglycan layer, cilia, flagella, and other surface appendages) surrounding its plasma membrane. We model the ion transport within and outside the soft layer using the soft layer electrokinetics-based Poisson-Nernst-Planck formalism. Additionally, we model the electroporation dynamics on the plasma membrane using the pore nucleation-based electroporation formalism developed by Krassowska and Filev. We find that ion transport within the soft layer (surface conduction), which depends on the relative importance of the soft layer charged group concentration compared to the buffer concentration, significantly alters the transmembrane voltage across the plasma membrane and hence the pore characteristics. Our numerical simulations suggest that surface conduction significantly lowers the pore number in the plasma membrane. This observation is consistent with experimental studies that show that gram-positive bacteria, in general, have lower transformation efficiencies compared to gram-negative bacteria. Our studies highlight a strong dependence of bacterial electroporation on cell envelope properties and buffer conditions, which need to be taken into consideration when designing electroporation protocols.",18-Sep-17
2,Jeffrey Moran,Phoretic Self-Propulsion,"It is well-known that micro- and nanoparticles can move by phoretic effects in response to externally imposed gradients of scalar quantities such as chemical concentration or electric potential. A class of active colloids can propel themselves through aqueous media by generating local gradients of concentration and electrical potential via surface reactions. Phoretic active colloids can be controlled using external stimuli and can mimic collective behaviors exhibited by many biological swimmers. Low–Reynolds number physicochemical hydrodynamics imposes unique challenges and constraints that must be understood for the practical potential of active colloids to be realized. Here, we review the rich physics underlying the operation of phoretic active colloids, describe their interactions and collective behaviors, and discuss promising directions for future research.",1-Jan-17
3,Jeffrey Moran,Nonlinear electrophoresis in the presence of dielectric decrement,"The nonlinear phenomena that occur in the electric double layer (EDL) that forms at charged surfaces strongly influence electrokinetic effects, including electro-osmosis and electrophoresis. In particular, saturation effects due to either dielectric decrement or ion crowding effects are of paramount importance. Dielectric decrement significantly influences the ionic concentration in the EDL at high zeta potential, leading to the formation of a condensed layer near the particle's surface. In this article, we present a model incorporating both steric effects due to the finite size of ions and dielectric decrement to describe the physics in the electric double layer. The model remains valid in both weakly and strongly nonlinear regimes, as long as the electric double layer remains in quasiequilibrium. We apply this model to the study of two archetypal problems in electrokinetics, namely the electrophoresis of particles with fixed surface charges and the electrophoresis of ideally polarizable particles.",30-Aug-16
4,Jeffrey Moran,Microfluidic Screening of Electric Fields for Electroporation,"Electroporation is commonly used to deliver molecules such as drugs, proteins, and/or DNA into cells, but the mechanism remains poorly understood. In this work a rapid microfluidic assay was developed to determine the critical electric field threshold required for inducing bacterial electroporation. The microfluidic device was designed to have a bilaterally converging channel to amplify the electric field to magnitudes sufficient to induce electroporation. The bacterial cells are introduced into the channel in the presence of SYTOX®, which fluorescently labels cells with compromised membranes. Upon delivery of an electric pulse, the cells fluoresce due to transmembrane influx of SYTOX® after disruption of the cell membranes. We calculate the critical electric field by capturing the location within the channel of the increase in fluorescence intensity after electroporation. Bacterial strains with industrial and therapeutic relevance such as Escherichia coli BL21 (3.65 ± 0.09 kV/cm), Corynebacterium glutamicum (5.20 ± 0.20 kV/cm), and Mycobacterium smegmatis (5.56 ± 0.08 kV/cm) have been successfully characterized. Determining the critical electric field for electroporation facilitates the development of electroporation protocols that minimize Joule heating and maximize cell viability. This assay will ultimately enable the genetic transformation of bacteria and archaea considered intractable and difficult-to-transfect, while facilitating fundamental genetic studies on numerous diverse microbes.",19-Feb-16
5,Jeffrey Moran,Nonlinear electrophoresis of ideally polarizable particles,"We focus in this paper on the nonlinear electrophoresis of ideally polarizable particles. At high applied voltages, significant ionic exchange occurs between the electric double layer, which surrounds the particle, and the bulk solution. In addition, steric effects due to the finite size of ions drastically modify the electric potential distribution in the electric double layer. In this situation, the velocity field, the electric potential, and the ionic concentration in the immediate vicinity of the particle are described by a complicated set of coupled nonlinear partial differential equations. In
the general case, these equations must be solved numerically. In this study, we rely on a numerical approach to determine the electric potential, the ionic concentration, and the velocity field in the bulk solution surrounding the particle. The numerical simulations rely on a pseudo-spectral method which was used successfully by Chu and Bazant [J. Colloid Interface Sci. 315 (1), 319–329 (2007)] to determine the electric potential and the ionic concentration around an ideally polarizable metallic
sphere. Our numerical simulations also incorporate the steric model developed by Kilic
et al. [Phys. Rev. E 75, 021502 (2007)] to account for crowding effects in the electric double layer, advective transport, and for the presence of a body force in the bulk electrolyte. The simulations demonstrate that surface conduction significantly decreases the electrophoretic mobility of polarizable particles at high zeta potential and at high applied electric field. Advective transport in the electric double layer and in the bulk solution is also shown to significantly impact surface conduction.",9-Oct-14
6,Jeffrey Moran,Role of solution conductivity in reaction induced charge auto-electrophoresis,"Catalytic bimetallic Janus particles swim by a bipolar electrochemical propulsion mechanism that results from electroosmotic fluid slip around the particle surface. The flow is driven by electrical body forces which are generated from a coupling of a reaction-induced electric field and net charge in the diffuse layer surrounding the particle. This paper presents simulations, scaling, and physical descriptions of the experimentally observed trend that the swimming speed decays rapidly with increasing solution conductivity. The simulations solve the full Poisson-Nernst-Planck-Stokes equations with multiple ionic species, a cylindrical particle in an infinite fluid, and nonlinear Butler-Volmer boundary conditions to represent the electrochemical surface reactions. The speed of bimetallic particles is reduced in high-conductivity solutions because of reductions in the induced electric field in the diffuse layer near the rod, the total reaction rate, and the magnitude of the rod zeta potential. This work suggests that the auto-electrophoretic mechanism is inherently susceptible to speed reductions in higher ionic strength solutions.",1-Apr-14
7,Jeffrey Moran,Three-dimensional three-component particle velocimetry for microscale flows using volumetric scanning," We present a diagnostic platform for measuring three-dimensional three-component (3D3C) velocity fields in microscopic volumes. The imaging system uses high-speed Nipkow spinning disk confocal microscopy. Confocal microscopy provides optical sectioning using pinhole spatial filtering which rejects light originating from out-of-focus objects. The system accomplishes volumetric scanning by rapid translation of the high numerical aperture objective using a piezo objective positioner. The motion of fluorescent microspheres is quantified using 3D3C super resolution particle-imaging velocimetry with instantaneous spatial resolutions of the order of 5 µm or less in all three dimensions. We examine 3D3C flow in a PDMS microchannel with an expanding section at 3D acquisition rates of 30 Hz, and find strong agreement with a computational model. Equations from the PIV and PTV literature adapted for a scanning objective provide estimates of maximum measurable velocity. The technique allows for isosurface visualization of 3D particle motion and robust high spatial resolution velocity measurements without requiring a calibration step or reconstruction algorithms.",14-Jun-12
8,Jeffrey Moran,Electrokinetic locomotion due to reaction-induced charge auto-electrophoresis,"Mitchell originally proposed that an asymmetric ion flux across an organism’s membrane could generate electric fields that drive locomotion. Although this locomotion mechanism was later rejected for some species of bacteria, engineered Janus particles have been realized that can swim due to ion fluxes generated by asymmetric electrochemical reactions. Here we present governing equations, scaling analyses and numerical simulations that describe the motion of bimetallic rod-shaped motors in hydrogen peroxide solutions due to reaction-induced charge auto-electrophoresis. The coupled Poisson–Nernst–Planck–Stokes equations are numerically solved using Frumkin-corrected Butler–Volmer equations to represent electrochemical reactions at the rod surface. Our simulations show strong agreement with the scaling analysis and experiments. The analysis shows that electrokinetic locomotion results from electro-osmotic fluid slip around the nanomotor surface. The electroviscous flow is driven by electrical body forces which are generated from a coupling of a reaction-induced dipolar charge density distribution and the electric field it creates. The magnitude of the electroviscous velocity increases quadratically with the surface reaction rate for an uncharged motor, and linearly when the motor supports a finite surface charge.",13-Jun-11
9,Jeffrey Moran,Rapid Fabrication of Bimetallic Spherical Motors,"Catalytic bimetallic nanomotors can swim at 100 body lengths per second as well as pick up, haul, and release micrometer-scale cargo. The electrokinetic locomotion of bimetallic nanomotors is driven by the electrocatalytic decomposition of hydrogen peroxide. The motors are typically fabricated by electrodeposition-based template synthesis techniques that result in heterogeneous samples and require specialized knowledge of electrochemistry, a three-electrode potentiostat setup, cyanide-based chemistry, and porous membranes. This paper presents a rapid and facile method for fabrication of spherical bimetallic motors that only requires access to metal deposition equipment and commercially available microspheres. The resulting spherical motors swim at speeds comparable to rod-shaped motors with the same dimensions and composition. The spherical motors’ velocity increases with fuel concentration and decreasing diameter.",21-Jul-10
10,Jeffrey Moran,Locomotion of electrocatalytic nanomotors due to reaction induced charge autoelectrophoresis,"Bimetallic rod-shaped nanomotors swim autonomously in hydrogen peroxide solutions. Here, we present a scaling analysis, computational simulations, and experimental data that show that the nanomotor locomotion is driven by fluid slip around the nanomotor surface due to electrical body forces. The body forces are generated by a coupling of charge density and electric fields induced by electrochemical reactions occurring on the nanomotor surface. We describe the dependence of nanomotor motion on the nanomotor surface potential and reaction-driven flux.",23-Jun-10
11,Jeffrey Moran,Submicron scale patterning in sintered silica colloidal crystal films using a focused ion beam,"Focused ion beam milling is used to fabricate micron and submicron scale patterns in sintered silica colloidal crystal films. Rectangular cavities with both solid and porous boundaries, fluidic channels, and isolation of a small number of packed spheres are patterned. The ion beam can pattern sintered films of individual submicron size spheres and create patterns that cover up to 40 μm in less than 15 min. The experiments in this work indicate that the amount of redeposited material on the surface of a milled cavity determines whether the surface will be porous or solid. FIB direct patterning has applications in colloidal crystal based lithography, integrated photonic devices, optofluidic devices, and micrototal-analytical systems.",20-Aug-08
0,Jessica Lin,List of publications,,
0,Jianli Pan,Refer to Google Scholar Profile link below,,http://scholar.google.com/citations?user=l9QQeHgAAAAJ&hl=en
0,Katherine Russell,RoboPatriots: GMU 2012 RoboCup Team,Paper on the 2012 RoboPatriots robot design.,1-Jun-12
1,Katherine Russell,Computational Theory and Cognitive Assistant for Intelligence Analysis,Paper on the computational theory for intelligence analysis and the implementation of this theory in TIACRITIS.,1-Nov-11
2,Katherine Russell,Toward a Computational Theory of Evidence-based Reasoning,Paper on evidence-based reasoning work at the Learning Agents Center at George Mason University.,1-May-11
0,Khaled Khasawneh,LATCH: A Locality-Aware Taint CHecker,,1-Jan-19
1,Khaled Khasawneh,SPECCFI: CFI Informed Branch Prediction,,1-Jan-19
2,Khaled Khasawneh,SafeSpec: Banishing the Spectre of a Meltdown with Leakage-Free Speculation,,1-Jan-19
3,Khaled Khasawneh,EnsembleHMD: Accurate Hardware Malware Detectors with Specialized Ensemble Classifiers,,1-Feb-18
4,Khaled Khasawneh,Adversarial Evasion-Resilient Hardware Malware Detectors,,1-Jan-18
5,Khaled Khasawneh,Spectre Returns! Speculation Attacks using the Return Stack Buffer,,1-Jan-18
6,Khaled Khasawneh,Constructing and Characterizing Covert Channels on GPGPUs ,,1-Jan-17
7,Khaled Khasawneh,RHMD: Evasion-Resilient Hardware Malware Detectors ,,1-Jan-17
8,Khaled Khasawneh,RIC: Relaxed Inclusion Caches for Mitigating LLC Side-Channel Attacks,,1-Jan-17
9,Khaled Khasawneh,Hardware-based Malware Detection using Low-level Architectural Features,,1-Jan-16
10,Khaled Khasawneh,Ensemble Learning for Low-level Hardware-supported Malware Detection,,1-Jan-15
1,Kun Sun,Secure Distributed Cluster Formation in Wireless Sensor Networks,,1-Jan-06
0,Larry Kerschberg,MAKO: Multi-Ontology Analytic Knowledge Organization based on Topic Maps,,1-Jan-04
0,Lisa Luo,A Review of the Literature on Social and Emotional Learning for Students Ages 3–8: Characteristics of Effective Social and Emotional Learning Programs,"The purpose of the report series is to summarize the benefits of social and emotional learning (SEL) in early childhood, and identify the characteristics of SEL interventions that are effective in school contexts. Responding to a need expressed by the Early Childhood Education Research Alliance, the research team conducted a systematic review and synthesis of recent research reviews and meta-analyses on the topic of SEL. The review identified effective SEL programs, strategies, and implementation practices. These effective components include aspects of program design, teacher training and technical assistance, and integration of SEL with existing structures. The review also described state and district policies that support SEL, such as engaging stakeholders, assessing resources and needs, adopting evidence-based SEL programs, integrating SEL into teacher and administrator evaluation systems, and developing comprehensive, freestanding SEL learning standards. Results suggest that SEL programs positively affect social and academic outcomes; however, more research is needed on the effects on diverse student groups.

The four parts to the series are:
Characteristics of effective social and emotional learning programs (part 1 of 4)
Implementation strategies and state and district support policies (part 2 of 4)
Teacher and classroom strategies that contribute to social and emotional learning (part 3 of 4)
Outcomes for different student populations and settings (part 4 of 4)",1-Feb-17
1,Lisa Luo,How Do States Define Alternative Education?,"This study provides an overview of similarities and differences in how states and state education agencies define alternative education, as well as which states have alternative education standards and what those standards entail. The study reviewed information on alternative education definitions and programs from state and federal websites and from local school system websites in Maryland. Findings show that 43 states and the District of Columbia have formal definitions of alternative education. The most commonly cited target population for alternative education is students with behavioral problems. The most common services listed in state definitions and policies regarding alternative education programs are regular academic instruction, counseling, social/life skills, job readiness, and behavioral services (e.g., anger management, conflict resolution). The literature suggests that the definition of alternative education should include the target population, services offered, setting (e.g., in school, stand-alone schools), and scheduling (e.g., during school hours, outside of school hours).",1-Sep-14
