,Category,top10,top10_scores
119,stochastic optimization,mingrui liu,0.067287208
119,stochastic optimization,sherif hashem,0.059268054
119,stochastic optimization,elise miller hooks,0.058863786
119,stochastic optimization,lily wang,0.055698285
119,stochastic optimization,ningshi yao,0.053048345
119,stochastic optimization,anand vidyashankar,0.050073948
119,stochastic optimization,kenneth strazzeri,0.049690399
120,rare event simulation,jim chen,0.125244064
120,rare event simulation,daniel barbara,0.118719275
120,rare event simulation,rajesh ganesan,0.118274721
120,rare event simulation,jessica lin,0.112061787
120,rare event simulation,pramita bagchi,0.110006112
120,rare event simulation,mahdi hashemi,0.106427904
120,rare event simulation,syed abbas zaidi,0.101739747
120,rare event simulation,yotam gingold,0.101287558
120,rare event simulation,carlotta domeniconi,0.101088443
120,rare event simulation,abolfazl safikhani,0.100803887
121,simulation optimization,shahnaz kamberi,0.142831363
121,simulation optimization,hamza mughal,0.122977465
121,simulation optimization,john otten,0.118585412
121,simulation optimization,jan allbeck,0.109746823
121,simulation optimization,mahdi hashemi,0.105823864
121,simulation optimization,tamara maddox,0.10180787
121,simulation optimization,jim chen,0.10088467
121,simulation optimization,rajesh ganesan,0.096858794
121,simulation optimization,yutao zhong,0.093352006
121,simulation optimization,joy hughes,0.092983574
122,model calibration,abolfazl safikhani,0.244307228
122,model calibration,ben seiyon lee,0.241761064
122,model calibration,alexander levis,0.217572714
122,model calibration,vadim sokolov,0.199290528
122,model calibration,qi wei,0.189194044
122,model calibration,edward huang,0.177873158
122,model calibration,kim blackwell,0.174966246
122,model calibration,tianshu feng,0.171469075
122,model calibration,lily wang,0.171343936
122,model calibration,syed abbas zaidi,0.169400341
123,time series modeling,jessica lin,0.36519455
123,time series modeling,abolfazl safikhani,0.30326629
123,time series modeling,syed abbas zaidi,0.284671156
123,time series modeling,elise miller hooks,0.276261318
123,time series modeling,alexander levis,0.269512255
123,time series modeling,mohan venigalla,0.251574364
123,time series modeling,cameron nowzari,0.250762536
123,time series modeling,rajesh ganesan,0.225663333
123,time series modeling,john shortle,0.222104486
123,time series modeling,yotam gingold,0.221174033
124,nonparametric inference,kenneth strazzeri,0.155555556
124,nonparametric inference,isuru dassanayake,0.103750275
124,nonparametric inference,mihai boicu,0.103152445
124,nonparametric inference,yue wang,0.086327681
124,nonparametric inference,lily wang,0.079256005
124,nonparametric inference,gheorghe tecuci,0.077888127
124,nonparametric inference,yariv ephraim,0.07581404
124,nonparametric inference,evgenios kornaropoulos,0.075197718
124,nonparametric inference,katherine russell,0.074720235
124,nonparametric inference,bernard schmidt,0.073922127
125,bayesian networks,ali k raz,0.268282882
125,bayesian networks,matthew amissah,0.206896552
125,bayesian networks,duminda wijesekera,0.203444542
125,bayesian networks,jiayang sun,0.202849858
125,bayesian networks,bernd peter paris,0.196219353
125,bayesian networks,daniel menasce,0.193399924
125,bayesian networks,daniel barbara,0.183927245
125,bayesian networks,jim chen,0.173258824
125,bayesian networks,george hazelrigg,0.171120056
125,bayesian networks,wanli qiao,0.169341027
126,markov models,abolfazl safikhani,0.258043092
126,markov models,ben seiyon lee,0.255823174
126,markov models,alexander levis,0.230335956
126,markov models,vadim sokolov,0.210984318
126,markov models,qi wei,0.200810334
126,markov models,edward huang,0.184474849
126,markov models,kim blackwell,0.183458883
126,markov models,tianshu feng,0.181078361
126,markov models,lily wang,0.180641649
126,markov models,syed abbas zaidi,0.179741457
127,queueing theory,ali k raz,0.133283443
127,queueing theory,gheorghe tecuci,0.126377581
127,queueing theory,̦zlem uzuner,0.112277252
127,queueing theory,alexander levis,0.110456042
127,queueing theory,jan allbeck,0.109522849
127,queueing theory,syed abbas zaidi,0.106930448
127,queueing theory,daniel barbara,0.105438037
127,queueing theory,daniel menasce,0.099947654
127,queueing theory,mihai boicu,0.099260725
127,queueing theory,george hazelrigg,0.098210785
128,probabilistic ontologies,shahnaz kamberi,0.241519396
128,probabilistic ontologies,hamza mughal,0.204646871
128,probabilistic ontologies,john otten,0.175411604
128,probabilistic ontologies,wanli qiao,0.172447972
128,probabilistic ontologies,joy hughes,0.168800749
128,probabilistic ontologies,yutao zhong,0.155347127
128,probabilistic ontologies,pelin kurtay,0.150970271
128,probabilistic ontologies,tamara maddox,0.13553483
128,probabilistic ontologies,binqian yin,0.133234678
128,probabilistic ontologies,aditya johri,0.127583399
129,acquisition decision support,kevin andrea,0.143530449
129,acquisition decision support,leonard adelman,0.141307927
129,acquisition decision support,michael hieb,0.141067961
129,acquisition decision support,duminda wijesekera,0.137739872
129,acquisition decision support,tolga soyata,0.128830763
129,acquisition decision support,mihai boicu,0.128462605
129,acquisition decision support,aditya johri,0.121548067
129,acquisition decision support,george hazelrigg,0.115509677
129,acquisition decision support,sanmay das,0.115053364
129,acquisition decision support,ray hong,0.114844228
130,model based systems engineering,alexander levis,0.313822808
130,model based systems engineering,vadim sokolov,0.28483693
130,model based systems engineering,jim chen,0.28108118
130,model based systems engineering,edward huang,0.279131368
130,model based systems engineering,janis terpenny,0.266219717
130,model based systems engineering,qi wei,0.265861917
130,model based systems engineering,abolfazl safikhani,0.2616851
130,model based systems engineering,syed abbas zaidi,0.259936875
130,model based systems engineering,ariela sofer,0.256931721
130,model based systems engineering,alexander brodsky,0.256068511
131,system analysis simulation,jim chen,0.228905819
131,system analysis simulation,amarda shehu,0.188282373
131,system analysis simulation,daniel barbara,0.186779343
131,system analysis simulation,janis terpenny,0.18350118
131,system analysis simulation,burak tanyu,0.180999684
131,system analysis simulation,george hazelrigg,0.177997587
131,system analysis simulation,carlotta domeniconi,0.176200336
131,system analysis simulation,aditya johri,0.174000145
131,system analysis simulation,vasiliki ikonomidou,0.173665852
131,system analysis simulation,john shortle,0.172649596
132,system enterprise architecture design,janis terpenny,0.281746935
132,system enterprise architecture design,thomas latoza,0.210540027
132,system enterprise architecture design,george hazelrigg,0.193325234
132,system enterprise architecture design,aditya johri,0.188567971
132,system enterprise architecture design,ray hong,0.175560581
132,system enterprise architecture design,edward huang,0.166137816
132,system enterprise architecture design,jan allbeck,0.161056116
132,system enterprise architecture design,yotam gingold,0.159704489
132,system enterprise architecture design,alexander levis,0.158361865
132,system enterprise architecture design,jim chen,0.153849118
133,workforce development,jim chen,0.155647677
133,workforce development,monson hayes,0.140305942
133,workforce development,rajesh ganesan,0.139044144
133,workforce development,vasiliki ikonomidou,0.13641994
133,workforce development,george hazelrigg,0.132154956
133,workforce development,viviana maggioni,0.131515032
133,workforce development,yotam gingold,0.131420428
133,workforce development,mahdi hashemi,0.130046631
133,workforce development,alexander levis,0.127820079
133,workforce development,shuochao yao,0.12669838
134,emergency response systems,yariv ephraim,0.187060739
134,emergency response systems,jim chen,0.178372847
134,emergency response systems,janis terpenny,0.157898308
134,emergency response systems,ray hong,0.146958172
134,emergency response systems,dimitrios ioannou,0.144831953
134,emergency response systems,rajesh ganesan,0.144337415
134,emergency response systems,qiliang li,0.143591718
134,emergency response systems,cameron nowzari,0.141162408
134,emergency response systems,jan allbeck,0.134713424
134,emergency response systems,vasiliki ikonomidou,0.134665001
135,humanitarian organizations human rights,hemant purohit,0.134050261
135,humanitarian organizations human rights,ningshi yao,0.12317948
135,humanitarian organizations human rights,myeong lee,0.116154413
135,humanitarian organizations human rights,jan allbeck,0.113630328
135,humanitarian organizations human rights,ray hong,0.107881646
135,humanitarian organizations human rights,shuochao yao,0.107164817
135,humanitarian organizations human rights,anand vidyashankar,0.10458858
135,humanitarian organizations human rights,sadegh torabi,0.103040762
135,humanitarian organizations human rights,rochelle jones,0.10086616
135,humanitarian organizations human rights,aditya johri,0.099992006
136,law enforcement,ningshi yao,0.136751356
136,law enforcement,gheorghe tecuci,0.129800532
136,law enforcement,duminda wijesekera,0.128706326
136,law enforcement,alexander levis,0.1273248
136,law enforcement,rochelle jones,0.124816474
136,law enforcement,syed abbas zaidi,0.121266304
136,law enforcement,daniel barbara,0.119666315
136,law enforcement,george hazelrigg,0.119495996
136,law enforcement,jan allbeck,0.118631771
136,law enforcement,ali k raz,0.115648017
137,curricular development enhanced educational opportunities,jim chen,0.202732816
137,curricular development enhanced educational opportunities,aditya johri,0.189575535
137,curricular development enhanced educational opportunities,janis terpenny,0.184033151
137,curricular development enhanced educational opportunities,rajesh ganesan,0.178786048
137,curricular development enhanced educational opportunities,george hazelrigg,0.172894052
137,curricular development enhanced educational opportunities,vasiliki ikonomidou,0.172189144
137,curricular development enhanced educational opportunities,mahdi hashemi,0.168017859
137,curricular development enhanced educational opportunities,monson hayes,0.16251859
137,curricular development enhanced educational opportunities,burak tanyu,0.161431981
137,curricular development enhanced educational opportunities,yotam gingold,0.155491129
138,engineering computing student learning methods effectiveness,gheorghe tecuci,0.329642157
138,engineering computing student learning methods effectiveness,mihai boicu,0.288679654
138,engineering computing student learning methods effectiveness,aditya johri,0.272210758
138,engineering computing student learning methods effectiveness,janis terpenny,0.218695585
138,engineering computing student learning methods effectiveness,michael eagle,0.18896239
138,engineering computing student learning methods effectiveness,jim chen,0.184068255
138,engineering computing student learning methods effectiveness,edward huang,0.175029532
138,engineering computing student learning methods effectiveness,tokunbo fadahunsi,0.172412894
138,engineering computing student learning methods effectiveness,george hazelrigg,0.171908589
138,engineering computing student learning methods effectiveness,shahnaz kamberi,0.165458958
139,distance computer based learning,gheorghe tecuci,0.329509108
139,distance computer based learning,mihai boicu,0.295094707
139,distance computer based learning,aditya johri,0.260538371
139,distance computer based learning,jim chen,0.233853605
139,distance computer based learning,daniel barbara,0.229919588
139,distance computer based learning,syed abbas zaidi,0.220870707
139,distance computer based learning,rajesh ganesan,0.21755046
139,distance computer based learning,michael eagle,0.216551631
139,distance computer based learning,monson hayes,0.213795796
139,distance computer based learning,carlotta domeniconi,0.212772005
140,power system reliability,jim chen,0.174705305
140,power system reliability,alexander levis,0.160355162
140,power system reliability,amarda shehu,0.154072118
140,power system reliability,rajesh ganesan,0.153814899
140,power system reliability,george hazelrigg,0.15276969
140,power system reliability,janis terpenny,0.150965114
140,power system reliability,cameron nowzari,0.148359211
140,power system reliability,kenneth ball,0.147084479
140,power system reliability,syed abbas zaidi,0.14255709
140,power system reliability,alexander brodsky,0.141774259
141,power system management,jim chen,0.174513999
141,power system management,alexander levis,0.160600982
141,power system management,rajesh ganesan,0.153252502
141,power system management,amarda shehu,0.152251917
141,power system management,george hazelrigg,0.151961179
141,power system management,jeffrey moran,0.151549835
141,power system management,janis terpenny,0.151122633
141,power system management,cameron nowzari,0.148792451
141,power system management,kenneth ball,0.146546691
141,power system management,alexander brodsky,0.145692189
142,power system security,jim chen,0.176554117
142,power system security,rajesh ganesan,0.163051625
142,power system security,alexander levis,0.162838656
142,power system security,cameron nowzari,0.154508857
142,power system security,george hazelrigg,0.153636942
142,power system security,ray hong,0.153547607
142,power system security,amarda shehu,0.153216484
142,power system security,giuseppe ateniese,0.152641986
142,power system security,qiliang li,0.151138686
142,power system security,duminda wijesekera,0.148924595
143,operational risk management,sanmay das,0.186785506
143,operational risk management,jan allbeck,0.163264706
143,operational risk management,mihai boicu,0.16031613
143,operational risk management,john shortle,0.157679485
143,operational risk management,gheorghe tecuci,0.153300518
143,operational risk management,cameron nowzari,0.149357938
143,operational risk management,rajesh ganesan,0.131302265
143,operational risk management,jim chen,0.130965087
143,operational risk management,michael hieb,0.128642136
143,operational risk management,duminda wijesekera,0.12369422
144,portfolio optimization asset allocation,sanmay das,0.131121932
144,portfolio optimization asset allocation,daniel barbara,0.127661677
144,portfolio optimization asset allocation,shahnaz kamberi,0.12560243
144,portfolio optimization asset allocation,aditya johri,0.122128251
144,portfolio optimization asset allocation,paul ammann,0.11950513
144,portfolio optimization asset allocation,john otten,0.11620871
144,portfolio optimization asset allocation,elise miller hooks,0.112776018
144,portfolio optimization asset allocation,daniel menasce,0.11006359
144,portfolio optimization asset allocation,john shortle,0.110000176
144,portfolio optimization asset allocation,tokunbo fadahunsi,0.108645635
145,regulation,cameron nowzari,0.141527091
145,regulation,duminda wijesekera,0.12898057
145,regulation,ningshi yao,0.127828368
145,regulation,andrzej manitius,0.122757732
145,regulation,jan allbeck,0.096725239
145,regulation,michael hieb,0.094547382
145,regulation,ivan avramovic,0.094233906
145,regulation,alexander levis,0.087869904
145,regulation,lance sherry,0.079192409
145,regulation,liza wilson durant,0.077143349
146,linguistics,antonios anastasopoulos,0.426000818
146,linguistics,marcos zampieri,0.338751219
146,linguistics,mark snyder,0.160892814
146,linguistics,aditya johri,0.151557174
146,linguistics,ziyu yao,0.150515041
146,linguistics,̦zlem uzuner,0.149323597
146,linguistics,pramita bagchi,0.139848949
146,linguistics,khondkar islam,0.136381078
146,linguistics,tianshu feng,0.135289383
146,linguistics,pouyan ahmadi,0.133899449
147,semiconductor manufacturing,rao v mulpuri,0.112289401
147,semiconductor manufacturing,kuo tian,0.111814627
147,semiconductor manufacturing,gene shuman,0.111361547
147,semiconductor manufacturing,janis terpenny,0.111072606
147,semiconductor manufacturing,martin slawski,0.105728248
147,semiconductor manufacturing,qiliang li,0.102981176
147,semiconductor manufacturing,ali beheshti,0.100030665
147,semiconductor manufacturing,viviana maggioni,0.078696048
147,semiconductor manufacturing,burak tanyu,0.077379003
147,semiconductor manufacturing,dimitrios ioannou,0.075602672
148,sustainable manufacturing,janis terpenny,0.12028626
148,sustainable manufacturing,tamara maddox,0.095837597
148,sustainable manufacturing,viviana maggioni,0.073812052
148,sustainable manufacturing,jan allbeck,0.072871144
148,sustainable manufacturing,filipe veiga,0.066299354
148,sustainable manufacturing,martha bushong,0.065850013
148,sustainable manufacturing,colleen berg,0.064482588
148,sustainable manufacturing,sherif hashem,0.060335695
148,sustainable manufacturing,yotam gingold,0.057790607
148,sustainable manufacturing,duoduo liao,0.054004766
149,command,michael hieb,0.203921816
149,command,duminda wijesekera,0.176057874
149,command,alexander levis,0.16166961
149,command,shahnaz kamberi,0.155617031
149,command,parth pathak,0.154028313
149,command,siddhartha sikdar,0.149651539
149,command,mingkui wei,0.149545296
149,command,jim chen,0.146982427
149,command,andrzej manitius,0.135647497
149,command,ningshi yao,0.13525811
150,control,duminda wijesekera,0.203519642
150,control,jim chen,0.162857299
150,control,hemant purohit,0.156140939
150,control,mingkui wei,0.154232534
150,control,cameron nowzari,0.153821098
150,control,michael hieb,0.151842505
150,control,parth pathak,0.144762172
150,control,alexander levis,0.144039167
150,control,daniel barbara,0.143319812
150,control,rajesh ganesan,0.140333642
151,communications,myeong lee,0.298223746
151,communications,ray hong,0.167872084
151,communications,katherine russell,0.165899121
151,communications,sadegh torabi,0.159343916
151,communications,joy hughes,0.150690468
151,communications,daniel barbara,0.145065198
151,communications,jim chen,0.14269191
151,communications,sanmay das,0.139239247
151,communications,hemant purohit,0.133289051
151,communications,angelos stavrou,0.132298305
152,computers,gheorghe tecuci,0.102802727
152,computers,olcay ciftci,0.099627096
152,computers,isuru dassanayake,0.095917163
152,computers,binqian yin,0.088823118
152,computers,antonios anastasopoulos,0.086940834
152,computers,mihai boicu,0.08659207
152,computers,ebrima ceesay,0.084470801
152,computers,grigory yaroslavtsev,0.082689823
152,computers,mahdi hashemi,0.082276956
152,computers,brian hrolenok,0.075485136
153,intelligence c4i  cyber,myeong lee,0.312291267
153,intelligence c4i  cyber,diana wang,0.189193508
153,intelligence c4i  cyber,sadegh torabi,0.164081533
153,intelligence c4i  cyber,riki morikawa,0.161150641
153,intelligence c4i  cyber,hemant purohit,0.148035888
153,intelligence c4i  cyber,̦zlem uzuner,0.14762841
153,intelligence c4i  cyber,sharon adamus,0.146638931
153,intelligence c4i  cyber,sanmay das,0.142912481
153,intelligence c4i  cyber,katherine russell,0.133639435
153,intelligence c4i  cyber,michael hieb,0.132130163
154,life cycle maintenance analysis,jessica lin,0.190734868
154,life cycle maintenance analysis,jim chen,0.18703915
154,life cycle maintenance analysis,daniel barbara,0.173247334
154,life cycle maintenance analysis,pramita bagchi,0.16926042
154,life cycle maintenance analysis,vasiliki ikonomidou,0.16858174
154,life cycle maintenance analysis,alexander levis,0.163921174
154,life cycle maintenance analysis,john shortle,0.16036969
154,life cycle maintenance analysis,elise miller hooks,0.158873867
154,life cycle maintenance analysis,syed abbas zaidi,0.158441917
154,life cycle maintenance analysis,jan allbeck,0.153696084
155,intelligence strategic analysis,myeong lee,0.269530894
155,intelligence strategic analysis,daniel barbara,0.185561383
155,intelligence strategic analysis,̦zlem uzuner,0.183441061
155,intelligence strategic analysis,katherine russell,0.173869076
155,intelligence strategic analysis,sanmay das,0.171737228
155,intelligence strategic analysis,jim chen,0.171564464
155,intelligence strategic analysis,alexander levis,0.171229832
155,intelligence strategic analysis,ray hong,0.168731291
155,intelligence strategic analysis,syed abbas zaidi,0.15879062
155,intelligence strategic analysis,hemant purohit,0.157005642
156,player team analytics,daigo shishika,0.137551476
156,player team analytics,hemant purohit,0.12347834
156,player team analytics,shahnaz kamberi,0.106240982
156,player team analytics,aditya johri,0.101953674
156,player team analytics,brian hrolenok,0.087162727
156,player team analytics,massimiliano albanese,0.086634814
156,player team analytics,shuochao yao,0.085141984
156,player team analytics,michael eagle,0.083746131
156,player team analytics,joy hughes,0.077153583
156,player team analytics,xiaonan guo,0.076523157
157,economics,hemant purohit,0.215898976
157,economics,brian hrolenok,0.129099445
157,economics,inchi hu,0.119051369
157,economics,shahnaz kamberi,0.118017634
157,economics,michael lyons,0.112132394
157,economics,john shortle,0.109680307
157,economics,david s rosenblum,0.109000863
157,economics,daniel menasce,0.108369602
157,economics,shuochao yao,0.107898574
157,economics,john mclaughlin,0.105981563
158,safety security,dimitrios ioannou,0.168138326
158,safety security,ray hong,0.147252554
158,safety security,qiliang li,0.146159645
158,safety security,xiaonan guo,0.140107768
158,safety security,md tanvir arafin,0.136631426
158,safety security,mohamed gebril,0.133798722
158,safety security,tokunbo fadahunsi,0.133420224
158,safety security,qiang zeng,0.118142156
158,safety security,lisa luo,0.112897409
158,safety security,jens peter kaps,0.11241149
159,emergency response,yariv ephraim,0.191760697
159,emergency response,kim blackwell,0.14191642
159,emergency response,dimitrios ioannou,0.124688821
159,emergency response,xiaonan guo,0.120983694
159,emergency response,qiliang li,0.119049689
159,emergency response,jim chen,0.107007979
159,emergency response,colleen berg,0.105245667
159,emergency response,parag chitnis,0.105092611
159,emergency response,cameron nowzari,0.103085015
159,emergency response,rajesh ganesan,0.102755267
160,sustainability resilience,ali beheshti,0.140855235
160,sustainability resilience,martin slawski,0.134438543
160,sustainability resilience,burak tanyu,0.124128849
160,sustainability resilience,huzefa rangwala,0.106779814
160,sustainability resilience,harry wechsler,0.106289519
160,sustainability resilience,yotam gingold,0.101894649
160,sustainability resilience,qiliang li,0.101122217
160,sustainability resilience,remi veneziano,0.09323385
160,sustainability resilience,chun hung chen,0.08686546
160,sustainability resilience,giorgio ascoli,0.086025705
161,system management,janis terpenny,0.170986413
161,system management,jim chen,0.147838315
161,system management,amarda shehu,0.132290863
161,system management,thomas latoza,0.131189328
161,system management,ray hong,0.126579445
161,system management,george hazelrigg,0.124096287
161,system management,giuseppe ateniese,0.117851017
161,system management,hadi el amine,0.117023139
161,system management,alexander brodsky,0.114173846
161,system management,edward huang,0.113002793
162,modeling performance,abolfazl safikhani,0.282375726
162,modeling performance,alexander levis,0.271535805
162,modeling performance,ben seiyon lee,0.262614554
162,modeling performance,vadim sokolov,0.25957913
162,modeling performance,qi wei,0.238382576
162,modeling performance,tianshu feng,0.22810076
162,modeling performance,syed abbas zaidi,0.222601397
162,modeling performance,daniel menasce,0.218289012
162,modeling performance,lily wang,0.218136555
162,modeling performance,edward huang,0.217795473
163,digital forensics,jeff offutt,0.224440851
163,digital forensics,paul ammann,0.188431895
163,digital forensics,burak tanyu,0.181132226
163,digital forensics,ray hong,0.179600786
163,digital forensics,daniel barbara,0.176287553
163,digital forensics,dimitrios ioannou,0.172957964
163,digital forensics,parth pathak,0.171305564
163,digital forensics,monson hayes,0.162063903
163,digital forensics,krzysztof gaj,0.155558349
163,digital forensics,qiliang li,0.148664752
164,modeling performance evaluation,abolfazl safikhani,0.259424911
164,modeling performance evaluation,alexander levis,0.247710512
164,modeling performance evaluation,ben seiyon lee,0.241725548
164,modeling performance evaluation,vadim sokolov,0.236139745
164,modeling performance evaluation,qi wei,0.215512947
164,modeling performance evaluation,tianshu feng,0.205457985
164,modeling performance evaluation,edward huang,0.201325865
164,modeling performance evaluation,lily wang,0.200881763
164,modeling performance evaluation,daniel menasce,0.200526577
164,modeling performance evaluation,syed abbas zaidi,0.200504525
165,wireless communications,myeong lee,0.263789789
165,wireless communications,bernd peter paris,0.23776922
165,wireless communications,yue wang,0.20757931
165,wireless communications,duminda wijesekera,0.196405395
165,wireless communications,vijay shah,0.195510389
165,wireless communications,joy hughes,0.18977055
165,wireless communications,kai zeng,0.188416151
165,wireless communications,daniel barbara,0.185301565
165,wireless communications,xiaonan guo,0.183598453
165,wireless communications,ray hong,0.181829603
166,iot security,tokunbo fadahunsi,0.136866669
166,iot security,mohamed gebril,0.131764746
166,iot security,md tanvir arafin,0.106715549
166,iot security,paul ammann,0.101811379
166,iot security,foteini baldimtsi,0.096215027
166,iot security,qiliang li,0.094590757
166,iot security,ran ji,0.091966131
166,iot security,massimiliano albanese,0.085348199
166,iot security,dimitrios ioannou,0.082638935
166,iot security,kun sun,0.082353032
167,engineering education,gheorghe tecuci,0.303981235
167,engineering education,mihai boicu,0.27173004
167,engineering education,aditya johri,0.206147063
167,engineering education,janis terpenny,0.199350816
167,engineering education,rochelle jones,0.179643187
167,engineering education,peter pachowicz,0.167801519
167,engineering education,bo liu,0.167183464
167,engineering education,michael holland,0.159923255
167,engineering education,michael eagle,0.159041363
167,engineering education,elizabeth white,0.156692149
168,entrepreneurship innovation,ray hong,0.150980466
168,entrepreneurship innovation,jessica lin,0.142490331
168,entrepreneurship innovation,rajesh ganesan,0.125287479
168,entrepreneurship innovation,bo han,0.116251273
168,entrepreneurship innovation,dimitrios ioannou,0.10917729
168,entrepreneurship innovation,f berlin,0.106904497
168,entrepreneurship innovation,eric osterweil,0.103595838
168,entrepreneurship innovation,md tanvir arafin,0.102473569
168,entrepreneurship innovation,shuochao yao,0.100655549
168,entrepreneurship innovation,jim chen,0.100111512
169,cyber security,tokunbo fadahunsi,0.136866669
169,cyber security,mohamed gebril,0.131764746
169,cyber security,md tanvir arafin,0.106715549
169,cyber security,paul ammann,0.101811379
169,cyber security,foteini baldimtsi,0.096215027
169,cyber security,qiliang li,0.094590757
169,cyber security,ran ji,0.091966131
169,cyber security,massimiliano albanese,0.085348199
169,cyber security,dimitrios ioannou,0.082638935
169,cyber security,kun sun,0.082353032
170,information security assurance,tokunbo fadahunsi,0.148758723
170,information security assurance,mohamed gebril,0.126068226
170,information security assurance,paul ammann,0.120318057
170,information security assurance,aditya johri,0.117673685
170,information security assurance,ran ji,0.109421482
170,information security assurance,qiliang li,0.108436335
170,information security assurance,foteini baldimtsi,0.10775898
170,information security assurance,angelos stavrou,0.106610007
170,information security assurance,mingkui wei,0.104129978
170,information security assurance,md tanvir arafin,0.103581708
171,computer game technology,gheorghe tecuci,0.193403697
171,computer game technology,shahnaz kamberi,0.187500872
171,computer game technology,michael eagle,0.185802181
171,computer game technology,daigo shishika,0.17559796
171,computer game technology,mihai boicu,0.173104523
171,computer game technology,aditya johri,0.159550757
171,computer game technology,joy hughes,0.153437616
171,computer game technology,binqian yin,0.140642169
171,computer game technology,brittany johnson matthews,0.138379445
171,computer game technology,ariela sofer,0.138047473
172,virtual humans,ningshi yao,0.093052953
172,virtual humans,yariv ephraim,0.071790839
172,virtual humans,zhisheng yan,0.066767733
172,virtual humans,jan allbeck,0.066414207
172,virtual humans,jim chen,0.061042816
172,virtual humans,pramita bagchi,0.059953453
172,virtual humans,mihai boicu,0.049223989
172,virtual humans,linghan zhang,0.048205371
172,virtual humans,tamara maddox,0.047918799
172,virtual humans,alexander levis,0.047606489
173,hardware security,tokunbo fadahunsi,0.134983337
173,hardware security,mohamed gebril,0.132812188
173,hardware security,shahnaz kamberi,0.121584506
173,hardware security,hamza mughal,0.115900111
173,hardware security,joy hughes,0.11463022
173,hardware security,paul ammann,0.111773762
173,hardware security,foteini baldimtsi,0.109266915
173,hardware security,md tanvir arafin,0.10576514
173,hardware security,yutao zhong,0.102642864
173,hardware security,massimiliano albanese,0.09708122
174,memory systems,janis terpenny,0.1811374
174,memory systems,ray hong,0.172166522
174,memory systems,jim chen,0.170140411
174,memory systems,qiliang li,0.169428938
174,memory systems,dimitrios ioannou,0.166331534
174,memory systems,george hazelrigg,0.161230612
174,memory systems,md tanvir arafin,0.152071392
174,memory systems,aditya johri,0.149865035
174,memory systems,rajesh ganesan,0.148412524
174,memory systems,tolga soyata,0.146984705
175,cognitive simulations,shahnaz kamberi,0.153939014
175,cognitive simulations,hamza mughal,0.130437299
175,cognitive simulations,john otten,0.125778824
175,cognitive simulations,jan allbeck,0.11765127
175,cognitive simulations,tamara maddox,0.107983553
175,cognitive simulations,joy hughes,0.107589789
175,cognitive simulations,jim chen,0.106210747
175,cognitive simulations,mahdi hashemi,0.104882951
175,cognitive simulations,aditya johri,0.101783109
175,cognitive simulations,yutao zhong,0.099014754
176,neuronal morphology,giorgio ascoli,0.129962541
176,neuronal morphology,michael holland,0.11433239
176,neuronal morphology,amarda shehu,0.109442518
176,neuronal morphology,ahmed bin zaman,0.106949464
176,neuronal morphology,jim chen,0.106371599
176,neuronal morphology,pramita bagchi,0.103658193
176,neuronal morphology,irina hashmi,0.103645488
176,neuronal morphology,burak tanyu,0.102949441
176,neuronal morphology,aditya johri,0.098839204
176,neuronal morphology,mahdi hashemi,0.091945325
177,network connectivity,ali k raz,0.26187229
177,network connectivity,matthew amissah,0.245651842
177,network connectivity,duminda wijesekera,0.18110701
177,network connectivity,daniel menasce,0.17354644
177,network connectivity,bernd peter paris,0.161042364
177,network connectivity,robert pettit,0.156174195
177,network connectivity,alexander levis,0.155747645
177,network connectivity,hakan aydin,0.150968667
177,network connectivity,daniel barbara,0.150350093
177,network connectivity,jiayang sun,0.150138473
179,neuroscience,ali k raz,0.342487835
179,neuroscience,matthew amissah,0.278543007
179,neuroscience,daniel menasce,0.224553053
179,neuroscience,jiayang sun,0.218475984
179,neuroscience,george hazelrigg,0.217944358
179,neuroscience,edward huang,0.210892972
179,neuroscience,duminda wijesekera,0.209557705
179,neuroscience,hakan aydin,0.205586679
179,neuroscience,john otten,0.197642354
179,neuroscience,alexander levis,0.193298073
180,computational neuroanatomy,john otten,0.355023473
180,computational neuroanatomy,yutao zhong,0.285830975
180,computational neuroanatomy,ali k raz,0.276425892
180,computational neuroanatomy,hamza mughal,0.25819889
180,computational neuroanatomy,matthew amissah,0.227429413
180,computational neuroanatomy,joy hughes,0.207056646
180,computational neuroanatomy,jiayang sun,0.202710106
180,computational neuroanatomy,craig lorie,0.199980003
180,computational neuroanatomy,tamara maddox,0.199501867
180,computational neuroanatomy,daniel menasce,0.199081787
181,cloud security,giuseppe ateniese,0.108465766
181,cloud security,lisa luo,0.107508642
181,cloud security,paul ammann,0.105510025
181,cloud security,colin reagle,0.103334389
181,cloud security,leonard adelman,0.101729884
181,cloud security,foteini baldimtsi,0.100255515
181,cloud security,qiang zeng,0.100148279
181,cloud security,diana wang,0.098347981
181,cloud security,xiaonan guo,0.098255192
181,cloud security,jim chen,0.098035148
182,applied cryptography,lisa luo,0.192480163
182,applied cryptography,ziyu yao,0.161068964
182,applied cryptography,qiang zeng,0.15601959
182,applied cryptography,thomas latoza,0.152392542
182,applied cryptography,nicholas rios,0.130913126
182,applied cryptography,niloofar ramezani,0.128123911
182,applied cryptography,karla hoffman,0.128094247
182,applied cryptography,john shortle,0.127599728
182,applied cryptography,jiayang sun,0.122063927
182,applied cryptography,leonard adelman,0.121003778
183,power aware computing,george hazelrigg,0.152300567
