,Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
388,Modeling time-varying uncertain situations using Dynamic Influence Nets,Alexander Levis,International Journal of Approximate Reasoning,0888613X,,Oct-08,49,2,488,15,34533073,10.1016/j.ijar.2008.04.007,Elsevier B.V.,Article,PROBABILITY theory; MATHEMATICAL combinations; MATHEMATICS; BAYESIAN analysis,Dynamic Bayesian Networks; Dynamic Influence Nets; Probabilistic reasoning; Timed Influence Nets,"Abstract: This paper enhances the Timed Influence Nets (TIN) based formalism to model uncertainty in dynamic situations. The enhancements enable a system modeler to specify persistence and time-varying influences in a dynamic situation that the existing TIN fails to capture. The new class of models is named Dynamic Influence Nets (DIN). Both TIN and DIN provide an alternative easy-to-read and compact representation to several time-based probabilistic reasoning paradigms including Dynamic Bayesian Networks. The Influence Net (IN) based approach has its origin in the Discrete Event Systems modeling. The time delays on arcs and nodes represent the communication and processing delays, respectively, while the changes in the probability of an event at different time instants capture the uncertainty associated with the occurrence of the event over a period of time. [Copyright &y& Elsevier] Copyright of International Journal of Approximate Reasoning is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=34533073&site=ehost-live
389,Rescuing Prometheus: Four Monumental Projects That Changed the Modern World.,Alexander Levis,Defense Acquisition Research Journal: A Publication of the Defense Acquisition University,21568391,,Oct-16,23,4,417,3,118642453,,Defense Acquisition University,Book Review,"HISTORY of technological innovations; NONFICTION; RESCUING Prometheus: Four Monumental Projects That Changed the Modern World (Book); HUGHES, Thomas Parke, 1923-2014",,,http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=118642453&site=ehost-live
390,A comprehensive study of an online packet scheduling algorithm.,Fei Li,Theoretical Computer Science,3043975,,Jul-13,497,,31,8,89510870,10.1016/j.tcs.2012.06.002,Elsevier B.V.,Article,"DATA packeting; COMPUTER algorithms; COMPUTER scheduling; DISCRETE systems; BUFFER storage (Computer science); COMPUTER science; Research and development in the physical, engineering and life sciences; Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",Buffer management; Competitive analysis; Online algorithm; Packet scheduling,"Abstract: We study the bounded-delay model for Qualify-of-Service buffer management. Time is discrete. There is a buffer. Unit-length jobs (also called packets) arrive at the buffer over time. Each packet has an integer release time, an integer deadline, and a positive real value. A packet’s characteristics are not known to an online algorithm until the packet actually arrives. In each time step, at most one packet can be sent out of the buffer. The objective is to maximize the total value of the packets sent by their respective deadlines in an online manner. An online algorithm’s performance is usually measured in terms of competitive ratio, when this online algorithm is compared with a clairvoyant algorithm achieving the maximum total value. In this paper, we study a simple and intuitive online algorithm. We analyze its performance in terms of competitive ratio for the general model and a few important variants. [Copyright &y& Elsevier] Copyright of Theoretical Computer Science is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=89510870&site=ehost-live
391,A near-optimal memoryless online algorithm for FIFO buffering two packet classes.,Fei Li,Theoretical Computer Science,3043975,,Jul-13,497,,164,9,89510881,10.1016/j.tcs.2011.11.039,Elsevier B.V.,Article,"ONLINE algorithms; FIRST in, first out (Queuing theory); COMPUTER scheduling; DATA packeting; COMBINATORIAL optimization; COMPUTER networks; Computer Systems Design Services",Buffer management; Competitive analysis; Online algorithm; Packet scheduling,"Abstract: We consider scheduling packets with values in a capacity-bounded buffer in an online setting. In this model, there is a buffer with limited capacity . At any time, the buffer cannot accommodate more than packets. Packets arrive over time. Each packet has a non-negative value. Packets leave the buffer only because they are either sent or dropped. Those packets that have left the buffer will not be reconsidered for delivery any more. In each time step, at most one packet in the buffer can be sent. The order in which the packets are sent should comply with the order of their arrival time. The objective is to maximize the total value of the packets sent in an online manner. In this paper, we study a variant of this FIFO buffering model in which a packet’s value is either 1 or . We present a deterministic memoryless 1.304-competitive algorithm. This algorithm has the same competitive ratio as the one presented in Lotker and Patt-Shamir [Z. Lotker, B. Patt-Shamir, Nearly optimal FIFO buffer management for DiffServ, in: Proceedings of the 21st Annual ACM Symposium on Principles of Distributed Computing, PODC, 2002, pp. 134–142; Z. Lotker, B. Patt-Shamir, Nearly optimal FIFO buffer management for DiffServ, Computer Networks 17 (1) (2003) 77–89]. However, our algorithm is simpler and does not employ any marking bits. The idea used in our algorithm is novel and different from all previous approaches that have been applied for the general model and its variants. We do not proactively preempt one packet when a new packet arrives. Instead, we may preempt more than one 1-value packet at the time when the buffer contains sufficiently many -value packets. [Copyright &y& Elsevier] Copyright of Theoretical Computer Science is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=89510881&site=ehost-live
392,Online packet scheduling with bounded delay and lookahead.,Fei Li,Theoretical Computer Science,3043975,,Jul-19,776,,95,19,136444306,10.1016/j.tcs.2019.01.013,Elsevier B.V.,Article,ONLINE algorithms; INTEGERS,Buffer management; Lookahead; Online algorithm; Online scheduling,"We study the online bounded-delay packet scheduling problem (PacketScheduling) , where packets of unit size arrive at a router over time and need to be transmitted over a network link. Each packet has two attributes: a non-negative weight and a deadline for its transmission. The objective is to maximize the total weight of the transmitted packets. This problem has been well studied in the literature; yet currently the best published upper bound is 1.828 [8] , still quite far from the best lower bound of ϕ ≈ 1.618 [11,2,6]. In the variant of PacketScheduling with s-bounded instances , each packet can be scheduled in at most s consecutive slots, starting at its release time. The lower bound of ϕ applies even to the special case of 2-bounded instances, and a ϕ -competitive algorithm for 3-bounded instances was given in [5]. Improving that result, and addressing a question posed by Goldwasser [9] , we present a ϕ -competitive algorithm for 4 -bounded instances. We also study a variant of PacketScheduling where an online algorithm has the additional power of 1-lookahead , knowing at time t which packets will arrive at time t + 1. For PacketScheduling with 1-lookahead restricted to 2-bounded instances, we present an online algorithm with competitive ratio 1 2 (13 − 1) ≈ 1.303 and we prove a nearly tight lower bound of 1 4 (1 + 17) ≈ 1.281. In fact, our lower bound result is more general: using only 2-bounded instances, for any integer ℓ ≥ 0 we prove a lower bound of 1 2 (ℓ + 1) (1 + 5 + 8 ℓ + 4 ℓ 2 ) for online algorithms with ℓ -lookahead, i.e., algorithms that at time t can see all packets arriving by time t + ℓ. Finally, for non-restricted instances we show a lower bound of 1.25 for randomized algorithms with ℓ -lookahead, for any ℓ ≥ 0. [ABSTRACT FROM AUTHOR] Copyright of Theoretical Computer Science is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=136444306&site=ehost-live
393,Anisotropic thermoelectric behavior in armchair and zigzag mono- and fewlayer MoS2 in thermoelectric generator applications.,Qiliang Li,Scientific Reports,20452322,,9/4/15,,,13706,1,109303311,10.1038/srep13706,Springer Nature,Article,ARMCHAIRS; THERMOELECTRIC generators; DENSITY functional theory; GREEN'S functions; NONEQUILIBRIUM flow; PHONON spectra,,"In this work, we have studied thermoelectric properties of monolayer and fewlayer MoS2 in both armchair and zigzag orientations. Density functional theory (DFT) using non-equilibrium Green's function (NEGF) method has been implemented to calculate the transmission spectra of mono- and fewlayer MoS2 in armchair and zigzag directions. Phonon transmission spectra are calculated based on parameterization of Stillinger-Weber potential. Thermoelectric figure of merit, ZT, is calculated using these electronic and phonon transmission spectra. In general, a thermoelectric generator is composed of thermocouples made of both n-type and p-type legs. Based on our calculations, monolayer MoS2 in armchair orientation is found to have the highest ZT value for both p-type and n-type legs compared to all other armchair and zigzag structures. We have proposed a thermoelectric generator based on monolayer MoS2 in armchair orientation. Moreover, we have studied the effect of various dopant species on thermoelectric current of our proposed generator. Further, we have compared output current of our proposed generator with those of Silicon thin films. Results indicate that thermoelectric current of MoS2 armchair monolayer is several orders of magnitude higher than that of Silicon thin films. [ABSTRACT FROM AUTHOR] Copyright of Scientific Reports is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=109303311&site=ehost-live
394,Autonomous Visual Perception for Unmanned Surface Vehicle Navigation in an Unknown Environment.,Qiliang Li,Sensors (14248220),14248220,,May-19,19,10,2216,1,136675160,10.3390/s19102216,MDPI,Article,AUTONOMOUS vehicles; COMPUTER vision; PATTERN recognition systems; IMAGE processing; ROBUST control; One-Hour Photofinishing; Photofinishing Laboratories (except One-Hour),deep-learning; recognition; unmanned surface vehicles; vision; water region,"Robust detection and recognition of water surfaces are critical for autonomous navigation of unmanned surface vehicles (USVs), since any none-water region is likely an obstacle posing a potential danger to the sailing vehicle. A novel water region visual detection method is proposed in this paper. First, the input image pixels are clustered into different regions and each pixel is assigned a label tag and a confidence value by adaptive multistage segmentation algorithm. Then the resulting label map and associated confidence map are fed into a convolutional neural network (CNN) as training samples to train the network online. Finally, the online trained CNN is used to segment the input image again but with greater precision and stronger robustness. Compared with other deep-learning image segmentation algorithms, the proposed method has two advantages. Firstly, it dispenses with the need of manual labeling training samples which is a costly and painful task. Secondly, it allows real-time online training for CNN, making the network adaptive to the navigational environment. Another contribution of this work relates to the training process of neuro network. An effective network training method is designed to learn from the imperfect training data. We present the experiments in the lake with a various scene and demonstrate that our proposed method could be applied to recognize the water region in the unknown navigation environment automatically. [ABSTRACT FROM AUTHOR] Copyright of Sensors (14248220) is the property of MDPI and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=136675160&site=ehost-live
395,Enhanced energy storage performance and thermal stability in relaxor ferroelectric (1‐x)BiFeO3‐x(0.85BaTiO3‐0.15Bi(Sn0.5Zn0.5)O3) ceramics.,Qiliang Li,Journal of the American Ceramic Society,27820,,Jun-21,104,6,2646,9,149598200,10.1111/jace.17705,Wiley-Blackwell,Article,HEAT storage; RELAXOR ferroelectrics; THERMAL stability; ENERGY storage; ELECTRIC discharges; ELECTRIC breakdown,BiFeO3; energy‐storage density; relaxor ferroelectric; solid phase sintering,"Lead‐free (1‐x)BiFeO3‐x(0.85BaTiO3‐0.15Bi(Sn0.5Zn0.5)O3) [(1‐x)BF‐x(BT‐BSZ), x=0.45‐0.7] ceramic samples were prepared by solid phase sintering. It is revealed that the pure single‐phase perovskite structure can be obtained in samples with x ≥ 0.6. With increasing x, the measured ferroelectric hysteresis loop becomes gradually slimmed in accompanying with reduced remnant polarization, and a clear ferroelectric‐relaxor transition at x = 0.65 is identified. Furthermore, the measured electric breakdown strength can be significantly enhanced with increasing x, and the optimal energy storage performance is achieved at x = 0.65, characterized by the recoverable energy storage density up to ≈3.06 J/cm3 and energy storage efficiency as high as ≈92 %. Excellent temperature stability (25°C–110°C) and fatigue endurance (>105 cycles) for energy storage are demonstrated. Our results suggest that the BF‐based relaxor ceramics can be tailored for promising applications in high energy storage devices. [ABSTRACT FROM AUTHOR] Copyright of Journal of the American Ceramic Society is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=149598200&site=ehost-live
396,High energy storage performances of Bi1−xSmxFe0.95Sc0.05O3 lead-free ceramics synthesized by rapid hot press sintering.,Qiliang Li,Journal of the European Ceramic Society,9552219,,Jul-19,39,7,2331,8,135228187,10.1016/j.jeurceramsoc.2019.02.009,Elsevier B.V.,Article,LEAD-free ceramics; ENERGY storage; BISMUTH compounds; HOT pressing; SINTERING; CHEMICAL synthesis; Iron Ore Mining,BiFeO3; Energy-storage density; Hot press sintering; Lead-free ceramics,"Abstract Lead-free Bi 1−x Sm x Fe 0.95 Sc 0.05 O 3 (x = 0.15–0.19) ceramics were fabricated by rapid hot press sintering, and their structure, ferroelectric and energy storage properties were comprehensively investigated. All the samples are in the mixed phases with R3c rhombohedral and Pbnm orthorhombic structures. With increasing x , the ferroelectric polarization decreases gradually, while the polarization loop becomes gradually slimed too. An high recoverable energy density (˜2.21 J/cm3) and a large efficiency (˜76%) with good thermal stability (20 °C–120 °C) are obtained under electric field (230 kV/cm) for the optimized sample x = 0.17. Moreover, transmission electron microscopy and piezo-response force microscopy measurements reveal that the presence of two-phase coexistence favors the formation of polar nano-regions, leading to the linear-towards polarization behaviors and the enhanced dielectric breakdown field, which is responsible for the superior energy storage performance of Bi 1−x Sm x Fe 0.95 Sc 0.05 O 3 ceramics. These results indicate a significant step to tailor lead-free BiFeO 3 -based ceramics towards high dielectric energy storage applications. [ABSTRACT FROM AUTHOR] Copyright of Journal of the European Ceramic Society is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=135228187&site=ehost-live
397,High-Performance Nonequilibrium InSb PIN Infrared Photodetectors.,Qiliang Li,IEEE Transactions on Electron Devices,189383,,Mar-19,66,3,1361,7,136509782,10.1109/TED.2019.2895032,IEEE,Article,PIN photodiodes; PHOTODETECTORS; CURRENT density (Electromagnetism); DARK currents (Electric); COOLING,Auger suppression; Cooling; Current density; Dark current; Detectors; Doping; infrared (IR) detectors; InSb; Photodetectors; Pins,"The cooling requirement is still a great burden of sensitive infrared (IR) detectors. To overcome this challenge, a detailed investigation of InSb P-intrinsic-N diodes was conducted. Its dark current was comprehensively studied for the design and optimization of high-performance nonequilibrium IR detectors. The doping concentration, exclusion junction, and layer geometry were engineered to lower the Auger suppression trigger current density ${J}_{\text {onset}}$ , leading to a low dark saturation current ${J}_{\text {sat}}$. The result indicated that the Auger suppression can be triggered at ${J}_{\text {onset}}={15}$ A/cm2 and ${V}_{\text {onset}} = {0.8}$ V, while ${J}_{\text {sat}}$ can be kept as low as 10 A/cm2. The nature of Auger suppression has been studied by calculating the carrier concentration profile in the diode with different bias voltages. It is proven that the exclusion diode has the most significant effect on the Auger suppression. The specific detectivity of optimized nonequilibrium InSb detectors at different temperatures has been compared favorably with the results reported by other groups. Such a nonequilibrium InSb IR detector has a high potential in room temperature and above application. [ABSTRACT FROM AUTHOR] Copyright of IEEE Transactions on Electron Devices is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=136509782&site=ehost-live
398,High-performance room-temperature TiO2-functionalized GaN nanowire gas sensors.,Qiliang Li,Applied Physics Letters,36951,,9/16/19,115,12,N.PAG,5,138756850,10.1063/1.5116677,American Institute of Physics,Article,GALLIUM nitride; N-type semiconductors; DETECTORS; NANOFABRICATION; GASES; TRANSDUCERS; NANOWIRE devices; NANOWIRES; Semiconductor and other electronic component manufacturing; Other Electronic Component Manufacturing,,"Hybrid gas sensors based on TiO2 functionalized gallium nitride nanowires have been prepared by nanofabrication and comprehensively studied for high-responsivity applications. The devices exhibited a high responsivity (25%) to 500 ppm NO2 assisted with ultraviolet illumination at room temperature. The thickness and doping concentration of TiO2 were engineered to improve the transducer function. The result indicated that an excellent n-type response can be stably obtained for a doping range from 1 × 1017 cm−3 to 1 × 1019 cm−3. The TiO2 thickness and doping concentration can be further fine-tuned to achieve optimal performance. In addition, a comprehensive device simulation was carried out to understand the device operation and gain insight for optimizing the device performance. [ABSTRACT FROM AUTHOR] Copyright of Applied Physics Letters is the property of American Institute of Physics and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=138756850&site=ehost-live
400,Methods to Characterize the Electrical and Mechanical Properties of Si Nanowires.,Qiliang Li,AIP Conference Proceedings,0094243X,,9/26/07,931,1,457,5,26887919,10.1063/1.2799417,American Institute of Physics,Article,"MECHANICAL behavior of materials; NANOTUBES; NANOWIRES; METROLOGY; ELECTROMECHANICAL devices; SEMICONDUCTORS; Semiconductor and other electronic component manufacturing; Totalizing Fluid Meter and Counting Device Manufacturing; Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use; Other Electronic Component Manufacturing; Motor and Generator Manufacturing; Other Communications Equipment Manufacturing; Semiconductor and Related Device Manufacturing",Nanoelectromechanical System; Nanowire; Non-volatile memory; Transfer Length Method,"We report metrology methods to characterize nanowires. In this work, representative devices and test structures, including nanoelectromechanical switches, non-volatile nanowire memory devices with SONOS structure, and both transfer-length-method and Kelvin test structures, have been developed to investigate the electrical and mechanical properties of the silicon nanowires. These methods and test structures can be readily applied to other (non-Si) semiconductor nanowires/nanotubes. [ABSTRACT FROM AUTHOR] Copyright of AIP Conference Proceedings is the property of American Institute of Physics and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=26887919&site=ehost-live
401,New families of large band gap 2D topological insulators in ethynyl-derivative functionalized compounds.,Qiliang Li,Applied Surface Science,1694332,,Aug-19,484,,1208,6,139234583,10.1016/j.apsusc.2019.04.071,Elsevier B.V.,Article,TOPOLOGICAL insulators; HIGH temperatures; TOPOLOGICAL property; BISMUTH telluride; LOW temperatures; FAMILIES,Edge states; Functionalized; Spin orbital coupling (SOC); Topological insulators; Two-dimensional materials,"The search for large band gap systems with dissipationless edge states is essential to developing materials that function under a wide range of temperatures. Two-dimensional (2D) topological insulators (TIs) have recently attracted significant attention due to their dissipationless transport, robust properties and excellent compatibility with device integration. However, a major barrier of 2D TIs is their small bulk band gap, which allows for applications only in extremely low temperatures. In this work, first principle calculations were used to analyze the geometric, electronic, and topological properties of PbC 2 X and BiC 2 X (X = H, Cl, F, Br, I) compounds. The band gap values are remarkably large, ranging from 0.79 eV to 0.99 eV. The nanoribbons of these compounds exhibited nontrivial topological order in the simulation, thus proving ethynyl-derivative functionalized Pb and Bi films to be new classes of giant band gap 2D TIs. In addition, these findings indicate that chemical functionalization with ethynyl-derivatives is an effective method to tune the band gap and preserve the nontrivial topological order. These novel materials that are applicable at both room temperature and high temperatures open the door to a new generation of electronics. (a) Calculated zigzag nanoribbon band structure of a 2D BiC 2 I monolayer. (b) The zigzag nanoribbon geometric structure that was used to calculate the edge states and current vs. bias characteristics. Unlabelled Image [ABSTRACT FROM AUTHOR] Copyright of Applied Surface Science is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=139234583&site=ehost-live
402,Nonvolatile memory based on redox-active ruthenium molecular monolayers.,Qiliang Li,Applied Physics Letters,36951,,10/14/19,115,16,N.PAG,5,139218620,10.1063/1.5108675,American Institute of Physics,Article,NONVOLATILE memory; RUTHENIUM; COMPUTER storage devices; X-ray photoelectron spectroscopy; SILICON oxide; RANDOM access memory; MONOMOLECULAR films; Computer and peripheral equipment manufacturing; Computer Storage Device Manufacturing,,"A monolayer of diruthenium molecules was self-assembled onto the silicon oxide surface in a semiconductor capacitor structure with a ""click"" reaction for nonvolatile memory applications. The attachment of the active molecular monolayer was verified by x-ray photoelectron spectroscopy. The prototypical capacitor memory devices in this work employed a metal/oxide/molecule/oxide/Si structure. With the intrinsic redox-active charge-storage properties of diruthenium molecules, these capacitor memory devices exhibited fast Program and Erase speed, excellent endurance performance with negligible degradation of the memory window after 105 program/erase cycles, and very good 10-year memory retention. These experimental results indicate that the redox-active ruthenium molecular memory is very promising for use in nonvolatile memory applications. [ABSTRACT FROM AUTHOR] Copyright of Applied Physics Letters is the property of American Institute of Physics and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=139218620&site=ehost-live
403,Observation and control of the anomalous Aharonov-Bohm oscillation in enhanced-mode topological insulator nanowire field-effect transistors.,Qiliang Li,Applied Physics Letters,36951,,8/12/19,115,7,N.PAG,5,138145238,10.1063/1.5111180,American Institute of Physics,Article,TOPOLOGICAL insulators; FIELD-effect transistors; OSCILLATIONS; QUANTUM interference; SILICON nanowires; SEMICONDUCTOR nanowires; WAVE functions,,"Aharonov-Bohm (AB) oscillation is a quantum mechanical phenomenon which reveals the coupling of electromagnetic potentials with the electron wave function, affecting the phase of the wave function. Such a quantum interference effect can be demonstrated through the magnetotransport measurement focusing on low-dimensional electronic states. Here, we report the experimental observation of anomalous AB oscillation in an enhanced-mode topological insulator Bi2Se3 nanowire field-effect transistor (FET) under strong surface disorder, which is different from the reported AB oscillation in topological insulator nanostructures. The surrounding gate of the nanowire FET gives rise to tunability of the chemical potential and introduces strong disorder on the surface states, leading to primary oscillation with an anomalous h/e period. Furthermore, the oscillation exhibits a significant dependence on the gate voltage which has been preliminary explained with the quantization of the surface conduction channel. The experimental demonstration can be very attractive for further exploration of quantum phase interference through electrical approaches, enabling applications in future information and electromagnetic sensing technology. [ABSTRACT FROM AUTHOR] Copyright of Applied Physics Letters is the property of American Institute of Physics and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=138145238&site=ehost-live
404,Precise gas discrimination with cross-reactive graphene and metal oxide sensor arrays.,Qiliang Li,Applied Physics Letters,36951,,11/26/18,113,22,N.PAG,4,133317637,10.1063/1.5063375,American Institute of Physics,Article,"METAL oxide semiconductors; GAS detectors; GRAPHENE; DETECTORS; INTERNET of things; Professional machinery, equipment and supplies merchant wholesalers",,"Discriminating similar molecules remains a very challenging problem for semiconductor gas sensors. Here, we report a method to achieve precise gas discrimination of similar chemical vapors (mesitylene, o-xylene, and toluene) by using cross-reactive arrays consisting of metal oxide semiconductor and graphene sensors. It is difficult to identify these three chemicals as they have very similar responses to these sensors. Through cross-reactive Principal Component Analysis of the sensor response features, however, the discrimination accuracy improved from about 70% with a single gas sensor to almost 100% with the cross-reactive sensor array. Such a precise discrimination and the low-cost planar process make this approach a very attractive candidate for smart gas sensing and for future Internet of Things applications. [ABSTRACT FROM AUTHOR] Copyright of Applied Physics Letters is the property of American Institute of Physics and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=133317637&site=ehost-live
405,"Recent Advances in Electrochemical Sensors for Detecting Toxic Gases: NO2, SO2 and H2S.",Qiliang Li,Sensors (14248220),14248220,,Feb-19,19,4,905,1,135038022,10.3390/s19040905,MDPI,Article,NITRIC oxide; GAS mixtures; ELECTROCHEMICAL sensors; GRAPHENE; SENSITIVITY analysis,density-functional theory (DFT); gas sensor; hydrogen sulfide (H2S); Internet of Things (IoT); nitrogen dioxide (NO2); response/recovery time; sensitivity; sulphur dioxide (SO2),"Toxic gases, such as NOx, SOx, H2S and other S-containing gases, cause numerous harmful effects on human health even at very low gas concentrations. Reliable detection of various gases in low concentration is mandatory in the fields such as industrial plants, environmental monitoring, air quality assurance, automotive technologies and so on. In this paper, the recent advances in electrochemical sensors for toxic gas detections were reviewed and summarized with a focus on NO2, SO2 and H2S gas sensors. The recent progress of the detection of each of these toxic gases was categorized by the highly explored sensing materials over the past few decades. The important sensing performance parameters like sensitivity/response, response and recovery times at certain gas concentration and operating temperature for different sensor materials and structures have been summarized and tabulated to provide a thorough performance comparison. A novel metric, sensitivity per ppm/response time ratio has been calculated for each sensor in order to compare the overall sensing performance on the same reference. It is found that hybrid materials-based sensors exhibit the highest average ratio for NO2 gas sensing, whereas GaN and metal-oxide based sensors possess the highest ratio for SO2 and H2S gas sensing, respectively. Recently, significant research efforts have been made exploring new sensor materials, such as graphene and its derivatives, transition metal dichalcogenides (TMDs), GaN, metal-metal oxide nanostructures, solid electrolytes and organic materials to detect the above-mentioned toxic gases. In addition, the contemporary progress in SO2 gas sensors based on zeolite and paper and H2S gas sensors based on colorimetric and metal-organic framework (MOF) structures have also been reviewed. Finally, this work reviewed the recent first principle studies on the interaction between gas molecules and novel promising materials like arsenene, borophene, blue phosphorene, GeSe monolayer and germanene. The goal is to understand the surface interaction mechanism. [ABSTRACT FROM AUTHOR] Copyright of Sensors (14248220) is the property of MDPI and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=135038022&site=ehost-live
