,Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
354,An Empirical Study of Face-to-Face and Distance Learning Sections of a Core Telecommunication course.,Khondkar Islam,Proceedings of the ASEE Annual Conference & Exposition,21535868,,2015,,,1,11.0,116024952,,ASEE,Article,FACE-to-face communication; DISTANCE education; LEARNING Management System; EDUCATION software; TELECOMMUNICATION systems; All Other Miscellaneous Schools and Instruction; Administration of Education Programs; Educational Support Services; Satellite Telecommunications,,"We present an empirical study that compared the student learning outcomes of face-to-face and distance learning sections of a Telecommunications course. Student performance was assessed based on the course grade, which included the final exam, quizzes, assignments, and midterm exam scores. Both classes were taught by the same instructor, and had similar content and assessment measures. The study factored in the students' demographics such as gender, work and residency status to assess their impact on student learning. In addition, data stored in the learning management system (LMS), BlackBoard ™, were collected and used to understand student activities within the system, and determine their relation with student performance. The number of times the material was accessed and the time duration spent on assessments are some of the examples of the data that were included in the study. The results show that there is a correlation between students' use of Blackboard and student performance. We found a significant statistical difference between course grades of the face-to-face and distance learning sections. We did not find any evidence for significant difference across a range of demographic factors. [ABSTRACT FROM AUTHOR] Copyright of Proceedings of the ASEE Annual Conference & Exposition is the property of ASEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=116024952&site=ehost-live
354,An Empirical Study of Face-to-Face and Distance Learning Sections of a Core Telecommunication course.,Aditya Johri,Proceedings of the ASEE Annual Conference & Exposition,21535868,,2015,,,1,11.0,116024952,,ASEE,Article,FACE-to-face communication; DISTANCE education; LEARNING Management System; EDUCATION software; TELECOMMUNICATION systems; All Other Miscellaneous Schools and Instruction; Administration of Education Programs; Educational Support Services; Satellite Telecommunications,,"We present an empirical study that compared the student learning outcomes of face-to-face and distance learning sections of a Telecommunications course. Student performance was assessed based on the course grade, which included the final exam, quizzes, assignments, and midterm exam scores. Both classes were taught by the same instructor, and had similar content and assessment measures. The study factored in the students' demographics such as gender, work and residency status to assess their impact on student learning. In addition, data stored in the learning management system (LMS), BlackBoard ™, were collected and used to understand student activities within the system, and determine their relation with student performance. The number of times the material was accessed and the time duration spent on assessments are some of the examples of the data that were included in the study. The results show that there is a correlation between students' use of Blackboard and student performance. We found a significant statistical difference between course grades of the face-to-face and distance learning sections. We did not find any evidence for significant difference across a range of demographic factors. [ABSTRACT FROM AUTHOR] Copyright of Proceedings of the ASEE Annual Conference & Exposition is the property of ASEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=116024952&site=ehost-live
355,Analysis and Modeling of Upstream Throughput in Multihop Packet CDMA Cellular Networks.,Bijan Jabbari,IEEE Transactions on Communications,00906778,,Apr2006,54,4,680,13.0,20720526,10.1109/TCOMM.2006.873076,IEEE,Article,CODE division multiple access; SPREAD spectrum communications; TIME division multiple access; WIRELESS communications; SHADOWING theorem (Mathematics); NETWORK routers; POWER transmission; ELECTRONICS; ELECTRICAL engineering; Engineering Services; Other Electronic and Precision Equipment Repair and Maintenance; Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing; Wireless Telecommunications Carriers (except Satellite),Ad hoc networks; multihop networks; network capacity; network modeling; wireless packet code-division multiple access,"We consider the problem of throughput modeling of wireless multihop packet CDMA networks with cellular overlay using simple forwarding strategies in the upstream. Considering the effect of shadowing and distance-dependent path loss, we approximate the probability density of interference at each base station (BS) and compare numerical and simulation results for different path-loss parameters. We derive the probability density of the received power at each BS due to transmission of one packet from a random node, as well as the probability distribution of the number of packets received at each node per time slot. Subsequently, we use the above results to approximate the probability density of the total received power at each BS based on calculations of moments. We observe that the probability density of intercell interference due to transmissions from terminals and routers may be approximated by normal and log-normal densities, respectively. We quantify the network performance based on throughput, total consumed power, and outage probability for different system parameters. For homogeneous link efficiencies, introducing routers into the network while reducing the transmission power increases the mean and variance of interference to the desired signal, hence higher outage probability. However, there are ample opportunities inherent to multihop structure, applicable to any of the physical, data link, and network layers, which help increase the overall achievable network throughput. [ABSTRACT FROM AUTHOR] Copyright of IEEE Transactions on Communications is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=20720526&site=ehost-live
356,DRAGON: A Framework for Service Provisioning in Heterogeneous Grid Networks.,Bijan Jabbari,IEEE Communications Magazine,01636804,,Mar2006,44,3,84,7.0,20300193,10.1109/MCOM.2006.1607870,IEEE,Article,OPTICAL communications; RESOURCE allocation; SONET (Data transmission); DATA transmission systems; GRID computing; COMPUTER systems; COMMUNICATION infrastructure; TELECOMMUNICATION systems; TECHNOLOGY; Satellite Telecommunications; Computer Systems Design Services; Computer systems design and related services (except video game design and development),,"Dynamic Resource Allocation in GMPLS Optical Networks (DRAGON) defines a research and experimental framework for high-performance networks required by Grid computing and e-science applications. The DRAGON project is developing technology and deploying network infrastructure which allows dynamic provisioning of network resources in order to establish deterministic paths in direct response to end-user requests. This includes multidomain provisioning of traffic-engineering paths using a distributed control plane across heterogeneous network technologies while including mechanisms for authentication, authorization, accounting (AAA), and scheduling. A reference implementation of this framework has been instantiated in the Washington, DC area and is being utilized to conduct research and development into the deployment of optical networks technologies toward the satisfaction of very-high-performance science application requirements. [ABSTRACT FROM AUTHOR] Copyright of IEEE Communications Magazine is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=20300193&site=ehost-live
357,Data-Driven Optimization of Reward-Risk Ratio Measures.,Ran Ji,INFORMS Journal on Computing,10919856,,Summer2021,33,3,1120,18.0,152160094,10.1287/ijoc.2020.1002,INFORMS: Institute for Operations Research,Article,NONLINEAR programming; SHARPE ratio; SET functions; MODULAR design; FRACTIONAL programming; ROBUST optimization,data-driven optimization; distributionally robust optimization; fractional programming; reward-risk ratio; Wasserstein metric,"We investigate a class of fractional distributionally robust optimization problems with uncertain probabilities. They consist in the maximization of ambiguous fractional functions representing reward-risk ratios and have a semi-infinite programming epigraphic formulation. We derive a new fully parameterized closed-form to compute a new bound on the size of the Wasserstein ambiguity ball. We design a data-driven reformulation and solution framework. The reformulation phase involves the derivation of the support function of the ambiguity set and the concave conjugate of the ratio function. We design modular bisection algorithms which enjoy the finite convergence property. This class of problems has wide applicability in finance, and we specify new ambiguous portfolio optimization models for the Sharpe and Omega ratios. The computational study shows the applicability and scalability of the framework to solve quickly large, industry-relevant-size problems, which cannot be solved in one day with state-of-the-art mixed-integer nonlinear programming (MINLP) solvers. [ABSTRACT FROM AUTHOR] Copyright of INFORMS Journal on Computing is the property of INFORMS: Institute for Operations Research and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=152160094&site=ehost-live
358,Distributionally robust portfolio optimization with linearized STARR performance measure.,Ran Ji,Quantitative Finance,14697688,,Jan 2022,22,1,113,15.0,154901822,10.1080/14697688.2021.1993623,Taylor & Francis Ltd,Article,ROBUST optimization; DUALITY theory (Mathematics); LINEAR programming; PORTFOLIO performance; STOCK exchanges; Securities and Commodity Exchanges,Conditional value-at-risk; Distributionally robust optimization; LSTARR performance measure; Wasserstein metric,"We study the distributionally robust linearized stable tail adjusted return ratio (DRLSTARR) portfolio optimization problem, in which the objective is to maximize the worst-case linearized stable tail adjusted return ratio (LSTARR) performance measure under data-driven Wasserstein ambiguity. We consider two types of imperfectly known uncertainties, named uncertain probabilities and continuum of realizations, associated with the losses of assets. We account for two typical combinatorial trading constraints, called buy-in threshold and diversification constraints, to reflect stock market restrictions. Leveraging conic duality theory to tackle the distributionally robust worst-case expectation, the proposed problems are reformulated into mixed-integer linear programming problems. We carry out a series of empirical tests to illustrate the scalability and effectiveness of the proposed solution framework, and to evaluate the performance of the DRLSTARR-constructed portfolios. The cross-validation results obtained using a rolling-horizon procedure show the superior out-of-sample performance of the DRLSTARR portfolios under an uncertain continuum of realizations. [ABSTRACT FROM AUTHOR] Copyright of Quantitative Finance is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=154901822&site=ehost-live
359,Analytics and patterns of knowledge creation: Experts at work in an online engineering community.,Aditya Johri,Computers & Education,03601315,,Sep2017,112,,18,19.0,123504643,10.1016/j.compedu.2017.04.011,Elsevier B.V.,Article,DISTANCE education; ENGINEERING; THEORY of knowledge; METAPHOR; EDUCATORS; Administration of Education Programs; All Other Miscellaneous Schools and Instruction,Engineering education; Knowledge creation; Learning analytics; Learning communities,"Online learning communities have gained popularity amongst engineering learners who seek to build knowledge and share their expertise with others; yet to date, limited research has been devoted to the development of analytics for engineering communities. This is addressed through our study of an online engineering community that serves 31,219 engineering learners who contributed 503,908 messages in 65,209 topics. The guiding theoretical framework is the knowledge creation metaphor, which conceptualizes learning as a collaborative process of developing shared knowledge artifacts for the collective benefit of a community of learners. The aims of this study are twofold: (1) to analyze the state of knowledge creation in the community; and (2) to evaluate the strength of association between proposed analytics and variables indicative of knowledge creation in online environments. Findings suggest that the community is vibrant as a whole but also reveal disparity in participation at the individual level. At the topic-level, knowledge creation activities are strongly associated with Topic Length and moderately associated with Topic Duration. At the individual-level, participation in knowledge creation activities is strongly associated with Individual Total Interactions and weakly associated with Individual Total Membership Period. The implications of the findings are discussed and may provide guidance for educators seeking to adopt learning analytics in online communities. [ABSTRACT FROM AUTHOR] Copyright of Computers & Education is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=123504643&site=ehost-live
360,Artificial intelligence and engineering education.,Aditya Johri,Journal of Engineering Education,10694730,,Jul2020,109,3,358,4.0,144725934,10.1002/jee.20326,Wiley-Blackwell,Article,"ENGINEERING education; ARTIFICIAL intelligence; SOCIAL computing; AUTOMATIC control systems; COMPUTER software; Software publishers (except video game publishers); Computer and software stores; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers; Computer, computer peripheral and pre-packaged software merchant wholesalers",,"I was recently invited to give a research seminar at an academic institution and so I did what most academics do in such cases: I made a PowerPoint (PPT) presentation. This whole process would have gone unnoticed except that in this instance I was preparing a talk on the potential impact of artificial intelligence (AI) on engineering education. Most AI experts agree that although artificial general intelligence, the kind of AI that is just like humans, is a long way off, artificial narrow intelligence (ANI), which is programmed to perform a single task, is making rapid progress. The recent National AI R&D Plan (Parker, 2018) and NSF investment in AI Institutes are timely reminders that we indeed need to pay attention to AI. [Extracted from the article] Copyright of Journal of Engineering Education is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=144725934&site=ehost-live
361,Contextual Constraining of Student Design Practices.,Aditya Johri,Journal of Engineering Education,10694730,,Jul2015,104,3,252,27.0,108426192,10.1002/jee.20079,Wiley-Blackwell,Article,ENGINEERING design education in universities & colleges; ENGINEERING teachers; ENGINEERING student research; STRUCTURATION theory; EFFECTIVE teaching; Engineering Services,engineering design education; nested structuration theory; qualitative case study,"Background Engineering design is of significant interest to engineering educators. As yet, how the higher education context shapes student outcomes in engineering design courses remains underexplored. Since design courses are the primary way students are taught the critical topic of design, it is important to understand how the institutional and organizational contexts shape student outcomes and how we could improve design projects, given the context. Purpose We sought to answer two questions: What aspects of the design education process are salient, or important, for students? How do these salient aspects affect their design practices? Design/Method We used a qualitative case study approach to address the research questions because of our emphasis on understanding process-related aspects of design work and developing an interpretive understanding from the students' perspective. Results Using a nested structuration framework, we show that the context of design practices shaped students' outcomes by constraining their approach to the project and by providing a framework for their design process. We provide recommendations for design educators to help students overcome impediments to achieving learning objectives for design activities. Our research questions the efficacy of teaching engineering design when a design problem lacks a context beyond the classroom. Conclusions The institutional and organizational contexts influence student design practices. Engineering educators should carefully consider the potential effects of the design projects they implement within a higher education context. [ABSTRACT FROM AUTHOR] Copyright of Journal of Engineering Education is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=108426192&site=ehost-live
362,Curating Tweets: A Framework for Using Twitter forWorkplace Learning.,Aditya Johri,Proceedings of the ASEE Annual Conference & Exposition,21535868,,2019,,,8314,19.0,139581986,,ASEE,Article,,,"Cybersecurity is a rapidly evolving field where professionals constantly need to keep up with new technologies and retrain. In this paper, we present a study that analyzed social media data and use the findings to aid professionals and students to learn more effectively using Twitter. We analyzed 23,000 cybersecurity related tweets posted on Twitter across two hashtags #cybersecurity and #infosec. Our analysis created a framework that explains how using descriptive, content, and network analysis can generate information that can help professionals learn. In addition, our analysis provided insights on the tweets and the cybersecurity community that use them. These insights include: Most tweets covered multiple topics and used three or more hashtags. Companies and other organizations had the highest numbers of followers, but individual users, experts in the field, were the most retweeted. Popular users, based on follower counts, were not necessarily the most influential (based on retweets). In terms of content, popular tweets consisted of infographics that packed a lot of information. Tweets were commonly used to announce file dumps of hacks and data leaks. Many highly used hashtags represented current threats and the overall sentiment of cybersecurity tweets are negative. Highly connected users on Twitter served as hubs across the three primary sub communities identified in the data. Insights from his study can assist with improving workforce development by guiding professionals in getting pertinent information and keeping up to date with the latest security threats and news. [ABSTRACT FROM AUTHOR] Copyright of Proceedings of the ASEE Annual Conference & Exposition is the property of ASEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=139581986&site=ehost-live
363,Developing and Advancing a Cyberinfrastructure to Gain Insights into Research Investments: An Organizing Research Framework.,Aditya Johri,Proceedings of the ASEE Annual Conference & Exposition,21535868,,2015,,,1,9.0,116025299,,ASEE,Article,CYBERINFRASTRUCTURE; DISTRIBUTED computing; STEM education; ENGINEERING education; NATIONAL Science Foundation (U.S.),,"Although the National Science Foundation (NSF) funds approximately 24% of basic research conducted in U.S. colleges and universities 1, we know little about how NSF funding decisions have shaped the current research terrain. For instance, what new research areas have emerged and how have faculty collaborated over time? The Deep Insights Anytime, Anywhere (DIA2) project was precipitated by the need to better understand these issues and translate them into easy to understand insights for the STEM education community. We were also motivated to understand how research outcomes, particularly of STEM education projects, impact STEM education practice. As part of this project, the DIA2 project team has designed an information and visualization portal (http://www.dia2.org) that allows researchers and scientists to browse and search public data from NSF to understand the research terrain (including information about research on specific topics and researchers active in the area). There are many challenges associated with developing and using such a cyberinfrastructure, but also many potential advantages for practitioners, researchers, and policymakers. In this paper we discuss the research opportunities provided by DIA2 and present the research framework guiding the DIA2 project--a description of the three major themes/areas of research for the study. The paper summarizes the research questions and research activities corresponding to each of the themes, presents next steps, and based on our findings, highlights the value of DIA2 to members of the STEM education community. These concentrated efforts can not only help us better understand the impact and landscape of STEM education research, but this study can also serve as a framework for other large scale cyber-enabled research projects. [ABSTRACT FROM AUTHOR] Copyright of Proceedings of the ASEE Annual Conference & Exposition is the property of ASEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=116025299&site=ehost-live
364,"Developing Global Engineering Competency Through Participation in ""Engineers Without Borders"".",Aditya Johri,Proceedings of the ASEE Annual Conference & Exposition,21535868,,2015,,,1,14.0,116025309,,ASEE,Article,ENGINEERING; CORE competencies; ENGINEERING education; ENGINEERS Without Borders (Organization),,"With a growing need for globally competent engineers, global engineering educational experiences, such as Engineers Without Borders (EWB), have become an important potential avenue for teaching students global engineering competencies. The purpose of this qualitative case study was to better understand engineering students' learning experiences in a EWB project, looking specifically at how students participating on the project exhibit attributes of global engineering competencies. The case study investigates an EWB project with the mission of designing and implementing a solar-powered electricity system for a school in Uganda. We found that students do exhibit attributes of global engineering competencies, although attributes regarding engineering cultures and ethics were exhibited more strongly than attributes regarding global regulations and standards. We discuss implications of these findings for educational practice and future research. [ABSTRACT FROM AUTHOR] Copyright of Proceedings of the ASEE Annual Conference & Exposition is the property of ASEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=116025309&site=ehost-live
365,Engineering Time: Learning Analytics Initiative to Understand how Firstyear Engineering Students Spend their Time.,Aditya Johri,Proceedings of the ASEE Annual Conference & Exposition,21535868,,2019,,,10506,12.0,139582129,,ASEE,Article,,,"This Complete Research paper describes a learning analytics (LA) informed initiative to collect a detailed account of how first-year engineering students spend their time. With a plethora of calls to increase the number of engineering graduates, it is imperative to set students up for success during their first year. While there are multiple strategies infused in students' first year of college, and as many focused towards engineering students, there are still gaps in our understanding of what students do with their time outside of the classroom. This paper presents a study that uses a learning analytics initiative to uncover what students are doing outside the classroom and how they spend their time. Specifically, this study addresses one research question: How do first-year engineering students manage their time? Time management is one of the most critical aspects of a student's success in college. Analyzing time management practices of students can provide valuable information about how they work and what helps them succeed. Our research details a pilot study of 14 first-year engineering students across two weeks during the Fall semester of 2017. Students used a shared Google Sheet to keep track of their activities in half-hour increments using a template created by the research team. The template includes six categories for students to fill-in: date, time, location, activity, course, and notes. Results of the study highlight the daily habits of first-year engineering students with sleep (36.94%), leisure (19.22%), other (11.04%), studying short- and long-term (8.93%), and class (7.89%) as the top four categories where students spend their time. [ABSTRACT FROM AUTHOR] Copyright of Proceedings of the ASEE Annual Conference & Exposition is the property of ASEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=139582129&site=ehost-live
366,Examining Learner-driven Constructs in Co-curricular Engineering Environments: The Role of Student Reflection in Assessment Development.,Aditya Johri,Proceedings of the ASEE Annual Conference & Exposition,21535868,,2017,,,11464,8.0,125730503,,ASEE,Article,CURRICULUM; ENGINEERING students; ENGINEERING education; FACULTY-college relationship; FACULTY advisors,,"Informal learning experiences are under-utilized in engineering education. Because of the voluntary nature of these experiences, many students may be unaware of their existence or how to access these experiences. Other students may not understand the benefits and, therefore, opt out. As such, students may be missing opportunities to extend their engineering understanding and skills to make them more competitive in the workforce. Therefore, it is important to examine the learning processes and outcomes supported by informal learning experiences. Co-curricular engineering experiences range from unstructured environments, such as social networking, to structured, such as engineering competitions that more closely approximate the workplace. Such experiences situate learning within an environment that may foster integration of knowledge and skills to solve problems (Pierrakos, Borrego, & Lo, 2007). These informal learning environments represent degrees of complexity. Therefore, students application of design or problem solving within such environments may also lead to other desired outcomes, such as increases in innovative thinking, the development of adaptive expertise, or being able to flexibly navigate multiple types of engineering environments (Kusano & Johri, 2014; Pellegrino, DiBello, & Brophy, 2014; Sawyer & Greeno, 2008; Stevens et al., 2008). However, research about how to assess outcomes attained via participation in informal learning environments is nascent. In this paper, we applied situated learning theory as a theoretical framework because our focus was on learning within engineering competitions (Johri & Olds, 2011; Johri, Olds, & O'Connor, 2014). Situated learning theory allowed us to focus on the activities in which students' engaged in order to understand the interactions that engendered different types of learning. Faculty study learning because it allows us to help students to improve, such as for formative purposes, or to certify that students have learned, such as for summative purposes. Thus, faculty make judgments about student learning based on assessment data. Validity is the most important criteria to examine the nature of the judgments and decisions related to test use. Validity does not exist as a property of a test. Rather, validity is about providing evidence that good and appropriate decisions were made based on assessment data (AERA, APA, & NCME, 2014). Therefore, validation processes must begin with the conception of the assessment. Validity is not simply a box to be checked for due diligence. Rather, validity must undergird every decision that is made to develop the assessment, demonstrate that it works for the purposes intended, and to draw any conclusions from assessment data, whether those decisions are about students, faculty teaching, programs, or policy. Response processes are one source of validity evidence. Gathering data about how students respond to assessment tasks or test items allows psychometricians to understand how learners think about, process, and respond to given performance tasks or test items. Messick (1990) stated, that response processes ""probe the ways in which individuals cope with the items or tasks, in an effort to illuminate the processes underlying item response and task performance"" (p. 5). For this paper, we extended the definition of response processes to elucidate the processes in extended performances, such as a competitions, which mirror workplace learning. [ABSTRACT FROM AUTHOR] Copyright of Proceedings of the ASEE Annual Conference & Exposition is the property of ASEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=125730503&site=ehost-live
367,Informing the Sharing and Access of Engineering Education Research Data through Comparative Analysis.,Aditya Johri,Proceedings of the ASEE Annual Conference & Exposition,21535868,,2015,,,1,16.0,116025764,,ASEE,Article,ENGINEERING education; ENGINEERING students; COMPARATIVE studies; LEARNING; STUDENT surveys,,"The rapid growth of engineering education as a field of rigorous research has resulted in an explosion of available data and research results. There are numerous research efforts currently underway that gather data on a variety of topics that have the potential to help us better understand how students learn engineering. However, there are currently no easy methods to synthesize research results, share research data, and indeed validate research studies effectively. In general, topics related to data and data sharing are largely treated as taboos in the engineering education research space. Data sharing mechanisms to enable fundamental research in engineering education that has the potential to address systemic problems have not yet been clarified. The research goal of this paper is to identify and understand patterns for data sharing mechanisms in order to inform design requirements for data sharing practices and infrastructure in engineering education. [ABSTRACT FROM AUTHOR] Copyright of Proceedings of the ASEE Annual Conference & Exposition is the property of ASEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=116025764&site=ehost-live
368,Lifelong and lifewide learning for the perpetual development of expertise in engineering.,Aditya Johri,European Journal of Engineering Education,03043797,,Feb 2022,47,1,70,15.0,154690360,10.1080/03043797.2021.1944064,Taylor & Francis Ltd,Article,LEARNING; SOFTWARE engineers; ENGINEERING education; EXPERTISE; ETHNOLOGY,digital participation; Engineering expertise; lifelong learning; lifewide learning; virtual ethnography,"Increasing digitisation of engineering and social practices has altered the relationship between formal schooling and development of expertise for professional engineering work. What does the development of expertise look like when knowledge is generated and shared at an accelerated pace due to shifts in technology? In this paper, I present case studies of two early career software engineers. Using methodological insights from digital ethnography, I trace their professional journeys over two decades. I empirically demonstrate how the development of engineering expertise is a continuous and perpetual endeavour and engineers learn throughout their lives (lifelong) and across all the different spaces they inhabit at any given time (lifewide). I argue for extending engineering work practices research and research in engineering education more broadly to take larger timescales of learning into account to build a comprehensive understanding of engineering expertise development. [ABSTRACT FROM AUTHOR] Copyright of European Journal of Engineering Education is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=154690360&site=ehost-live
369,"Live, Love, Juul: User and Content Analysis of Twitter Posts about Juul.",Aditya Johri,American Journal of Health Behavior,10873244,,Mar/Apr2019,43,2,326,11.0,134748482,10.5993/AJHB.43.2.9,PNG Publications,Article,SMOKING prevention; AGE distribution; CHI-squared test; COMMUNICATION; CONTENT analysis; HEALTH education; HEALTH promotion; MARKETING; PRESS; PUBLIC opinion; RESEARCH funding; STATISTICAL sampling; STATISTICS; ELECTRONIC cigarettes; Marketing Consulting Services; News Syndicates; Marketing Research and Public Opinion Polling; Tobacco product manufacturing; Tobacco Manufacturing; TWITTER (Web resource),content analysis; electronic cigarettes; JUUL; smoking; social media; Twitter,"Objectives: In this study, we identified patterns of communication around Juul use and users on Twitter. Methods: Public tweets were collected from April 27, 2018 until June 27, 2018. We categorized 1008 randomly selected tweets on 4 dimensions: user type, sentiment, genre, and theme. Results: Most tweets were through personal accounts followed by ones of the tobacco industry. Participation by anti-tobacco campaigners, educational, and governmental entities was limited. Posts were mostly about first-hand use, use intentions, and personal opinions. Tweets advocating Juul were most common; meanwhile a handful of tweets discouraged Juul use. Young women, young men, and the tobacco industry expressed positive sentiments about Juul. Conclusions: Twitter data are a rich source of public communication to complement surveillance of emerging tobacco products. Youth actively and positively communicate about Juul on Twitter. Educational content and strategies must be examined for curtailing dissemination of positive sentiments and advocacy that normalize and promote Juul use among youth and non-smokers. We observed limited evidence supporting a claim for Juul to be a smoking cessation adjunct. [ABSTRACT FROM AUTHOR] Copyright of American Journal of Health Behavior is the property of PNG Publications and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=134748482&site=ehost-live
